OPTIMIZE_IN_SELECT,OPTIMIZE_INSERT_FROM_SELECT,OPTIMIZE_TWO_EQUALS,OPTIMIZE_IN_LIST,OPTIMIZE_EVALUATABLE_SUBQUERIES,PAGE_STORE_TRIM,RECOMPILE_ALWAYS,COMPRESS,IGNORE_CATALOGS,OPTIMIZE_OR,PAGE_STORE_INTERNAL_COUNT,REUSE_SPACE,DROP_RESTRICT,DEFRAG_ALWAYS,OPTIMIZE_DISTINCT,MVSTORE,workload
0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,smallbank-1
0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,smallbank-1
0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,smallbank-1
1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,smallbank-1
0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,smallbank-1
0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,smallbank-1
0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,smallbank-1
1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,smallbank-1
1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,smallbank-1
1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,smallbank-1
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,smallbank-1
1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,smallbank-1
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,smallbank-1
1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,smallbank-1
1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,smallbank-1
1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,0,smallbank-1
1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,smallbank-1
1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,smallbank-1
0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,smallbank-1
1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,smallbank-1
0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,ycsb-2400
1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,ycsb-2400
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,ycsb-2400
0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,ycsb-2400
0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,ycsb-2400
0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,ycsb-2400
1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,ycsb-2400
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,ycsb-2400
1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,ycsb-2400
0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,ycsb-2400
0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,ycsb-2400
0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,ycsb-2400
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,ycsb-2400
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,ycsb-2400
1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,ycsb-2400
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,ycsb-2400
1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,ycsb-2400
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ycsb-2400
0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,ycsb-2400
0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,ycsb-2400
0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,voter-16
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,voter-16
0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,voter-16
0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,voter-16
0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,voter-16
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,voter-16
0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,voter-16
0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,voter-16
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,voter-16
1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,voter-16
1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,voter-16
0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,voter-16
0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,voter-16
0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,voter-16
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,voter-16
0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,voter-16
1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,voter-16
1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,voter-16
0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,voter-16
0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,voter-16
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,tpcc-8
0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,tpcc-8
1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,tpcc-8
0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,tpcc-8
0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,tpcc-8
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,tpcc-8
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,tpcc-8
0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,tpcc-8
0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,tpcc-8
0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,tpcc-8
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,tpcc-8
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,tpcc-8
0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,tpcc-8
0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,tpcc-8
0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,tpcc-8
0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,tpcc-8
0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,tpcc-8
0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,tpcc-8
0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,tpcc-8
0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,tpcc-8
