id,8x8dct,analyse,aq-mode,aq-strength,b-adapt,bframes,cabac,chroma-qp-offset,crf,deblock,direct,fast-pskip,keyint,lookahead-threads,me,merange,mixed-refs,mbtree,nal-hrd,open-gop,profile,qcomp,qpmax,qpmin,rc-lookahead,ref,scenecut,subme,threads,trellis,weightb,weightp,weight,selected
336,0,none,0,0.0912060476289293,1,7,0,-1,28.36323956231097,1:-1,spatial,1,174,3,dia,27,0,0,none,1,main,0.3644518743760119,20,16,132,3,65,0,8,0,0,1,1.190443,0
336,1,none,1,0.0912060476289293,1,16,1,-5,28.36323956231097,4:-4,temporal,1,174,0,dia,27,1,0,none,1,main,0.3644518743760119,39,12,132,3,30,0,8,0,1,1,0.987257,0
336,1,p8x8,1,0.0912060476289293,1,16,1,-5,2.2750043581829384,4:-4,temporal,0,174,0,dia,27,1,0,none,1,main,0.3644518743760119,39,12,17,3,30,0,8,0,0,1,0.987257,0
336,1,none,0,0.0912060476289293,1,16,1,-5,28.36323956231097,1:-1,none,1,174,0,dia,27,1,0,none,1,main,0.3644518743760119,39,12,132,3,30,0,8,0,1,1,0.987257,0
963,1,none,1,0.0912060476289293,1,16,1,-5,28.36323956231097,4:-4,temporal,1,174,0,dia,27,1,0,none,1,main,0.3644518743760119,39,12,132,3,30,0,8,0,1,1,0.987257,0
76,0,none,0,0.0912060476289293,1,7,1,-5,28.36323956231097,1:-1,none,1,174,0,dia,27,1,0,none,1,main,0.3644518743760119,39,12,132,3,65,0,8,0,0,1,0.987257,0
329,0,none,1,0.4358727394231024,1,16,1,0,28.36323956231097,1:-1,none,1,174,0,dia,27,1,0,none,1,main,0.3644518743760119,39,12,83,3,6,0,8,0,1,1,0.987257,0
963,0,all,1,0.0912060476289293,2,16,1,-5,28.36323956231097,4:-4,none,1,174,0,dia,27,1,0,none,1,main,0.3644518743760119,39,12,132,12,30,7,8,0,1,1,1.190443,0
1387,0,p8x8,2,0.9487756353111814,0,1,0,-5,28.36323956231097,4:-4,temporal,1,174,0,dia,27,1,0,none,1,baseline,0.3644518743760119,39,12,132,6,30,0,8,0,1,1,1.190443,0
963,1,none,1,0.0912060476289293,1,11,1,-5,28.36323956231097,4:-4,temporal,1,174,0,dia,27,1,0,cbr,1,main,0.3644518743760119,39,12,17,3,30,0,8,0,0,1,1.190443,0
557,1,p4x4,0,0.1955269696516515,1,16,1,2,42.2627815452034,4:-4,spatial,1,116,4,tesa,10,1,0,cbr,0,baseline,0.4027027556017213,43,1,11,14,99,7,34,0,0,0,0.925386,0
557,1,p4x4,0,0.1955269696516515,1,10,1,2,42.2627815452034,4:-4,spatial,1,116,4,tesa,10,0,1,none,0,baseline,0.6493532546000097,48,4,92,2,80,0,2,0,0,0,0.925386,0
557,1,p4x4,0,0.1955269696516515,1,16,1,2,42.2627815452034,4:-4,spatial,1,442,4,tesa,10,1,0,vbr,0,baseline,0.4027027556017213,43,1,11,14,99,7,45,0,0,0,0.925386,0
557,1,p4x4,0,0.1955269696516515,1,10,1,2,42.2627815452034,4:-4,spatial,1,116,4,tesa,10,0,1,none,0,baseline,0.9982999392633588,48,4,92,2,80,5,2,0,0,0,0.925386,0
557,1,p4x4,0,0.777486610269687,1,10,1,2,42.2627815452034,4:-4,spatial,1,442,4,tesa,10,1,0,vbr,0,baseline,0.4027027556017213,43,1,11,14,99,7,45,0,0,0,0.925386,0
557,1,p4x4,0,1.4537758344528866,1,16,1,2,42.2627815452034,5:5,spatial,1,442,4,tesa,10,1,0,vbr,0,baseline,0.6493532546000097,48,4,92,2,80,0,2,0,0,2,0.925386,0
557,1,p4x4,0,0.1955269696516515,1,16,1,2,42.2627815452034,4:-4,spatial,1,442,4,tesa,10,0,0,vbr,0,baseline,0.5492414733251918,43,13,11,14,99,7,45,0,0,0,0.925386,0
70,1,p4x4,1,0.1955269696516515,1,10,1,2,42.2627815452034,4:-4,spatial,1,116,4,tesa,10,0,1,none,0,baseline,0.6493532546000097,48,4,92,2,80,0,2,0,1,0,0.925386,0
1946,1,all,1,1.5648090898349587,2,10,1,-7,39.70519654463072,-3:3,spatial,1,22,2,dia,34,0,1,vbr,1,baseline,0.7958062464858855,50,9,3,10,36,9,4,0,1,1,0.925386,0
1946,1,all,1,1.5648090898349587,2,10,1,8,39.70519654463072,-3:3,spatial,1,261,2,dia,34,0,0,none,1,high,0.9171349574400796,36,19,69,15,4,5,6,0,1,1,0.925386,0
76,0,none,0,0.0912060476289293,1,7,0,9,28.36323956231097,1:-1,spatial,1,174,3,dia,27,0,0,none,1,main,0.734870018166699,20,16,132,3,0,0,8,0,0,1,1.107914,0
76,0,none,0,0.0912060476289293,1,7,0,9,28.36323956231097,1:-1,spatial,1,174,3,dia,4,0,0,none,1,main,0.734870018166699,20,16,132,3,0,0,46,0,0,1,1.107914,0
336,0,p4x4,0,0.0912060476289293,1,7,0,9,28.36323956231097,1:-1,spatial,1,174,3,dia,27,0,0,none,1,main,0.734870018166699,20,16,132,2,0,3,8,0,0,1,1.107914,0
76,0,none,0,0.0912060476289293,1,7,0,9,28.36323956231097,1:-1,spatial,1,174,3,dia,27,0,0,none,1,main,0.734870018166699,33,14,132,2,0,3,8,0,0,1,1.107914,0
336,0,p4x4,0,0.0912060476289293,1,7,0,9,28.36323956231097,1:-1,spatial,1,174,3,dia,27,1,0,none,1,main,0.5241074708625206,20,19,132,3,0,0,8,0,0,1,1.107914,0
