NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,weight,selected
0,1,0,0,0,0,0,1,0,0,0,0,0,44,8,1,2.142857,1
0,1,1,0,0,0,0,0,1,0,0,1,0,22,160,0,2.6,1
1,0,0,0,0,0,0,0,1,0,0,0,1,22,8,1,1.133333,1
0,1,1,0,0,0,0,0,0,0,1,1,0,44,160,0,1.0,0
0,1,0,0,0,1,0,0,0,0,1,0,0,44,8,0,1.0,0
0,0,1,1,0,0,0,0,0,0,1,1,0,44,160,0,1.0,0
0,0,0,1,0,0,1,0,0,0,0,0,0,48,8,1,1.133333,1
1,0,1,1,1,0,0,0,0,1,0,1,0,44,8,2,1.0,0
1,0,0,0,0,0,0,1,0,0,0,0,1,22,8,2,1.0,1
0,0,0,0,0,0,0,1,0,0,0,0,1,22,8,2,1.0,1
0,0,0,1,0,0,1,0,0,0,0,0,0,44,8,1,1.3,1
0,0,1,0,0,0,0,0,1,0,0,0,1,22,8,1,1.933333,1
1,0,0,0,0,0,1,0,0,0,0,0,1,8,8,0,2.333333,1
0,0,0,0,1,0,0,0,0,0,0,1,1,8,160,0,1.9,1
1,0,1,0,0,0,1,0,0,1,0,1,1,22,8,0,1.2,1
0,0,0,0,0,0,0,0,1,0,0,1,1,22,8,1,1.2,1
0,0,0,0,0,0,1,0,0,0,0,0,1,8,8,0,2.3,1
0,0,0,0,0,0,1,0,0,0,0,0,1,8,160,0,2.3,1
0,0,0,0,0,0,0,0,1,0,0,0,1,22,8,1,2.0,1
0,1,0,0,0,0,0,1,0,0,0,0,0,8,8,1,2.0,1
0,1,1,0,0,0,0,0,1,0,0,0,0,8,160,0,2.0,1
0,1,0,0,0,0,0,0,1,0,0,0,0,8,160,0,2.0,1
0,0,0,0,0,0,1,0,0,0,0,1,1,8,160,0,2.0,1
0,1,0,0,0,1,0,0,0,0,1,1,0,22,160,0,2.0,1
