NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,time
1,0,1,1,0,0,0,0,0,0,1,1,0,8,8,0,9.623014131834482
1,1,1,1,0,0,0,1,0,0,0,1,0,22,8,0,9.625326952649825
0,0,1,0,0,0,0,0,0,0,0,1,0,22,8,0,9.626631559528105
1,0,1,1,1,0,0,1,0,0,0,1,0,22,8,0,9.62866101599614
1,1,1,0,1,0,0,0,0,0,0,1,0,22,8,2,9.627034501798919
1,0,0,0,0,0,1,0,1,0,0,0,0,44,8,0,9.622808150281886
0,0,0,0,1,0,0,0,0,0,0,1,0,22,8,0,9.625798420778048
0,0,1,1,0,0,1,0,0,0,0,1,1,44,8,1,9.625448024222216
1,0,1,1,0,0,0,0,0,0,0,1,0,44,8,1,9.62407911796261
0,0,1,1,0,1,1,0,0,0,0,1,0,22,8,0,9.621160322978143
1,0,1,0,0,0,0,0,0,1,1,0,0,22,8,0,9.628177519701818
