NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,time
0,0,0,1,0,0,1,0,0,0,1,0,0,8,8,2,27.454485516040684
0,0,1,0,0,0,1,1,0,1,1,1,1,8,8,1,27.455535611067827
0,0,1,0,0,0,0,0,0,1,0,1,1,44,8,1,27.458987818900017
1,0,0,0,0,1,0,0,0,1,1,1,1,8,8,0,27.453995384721747
1,0,1,0,0,0,1,0,0,1,0,1,0,8,8,0,27.452335722312093
0,1,0,0,0,0,0,1,0,1,0,0,1,44,8,1,27.458902116606925
1,0,0,0,0,0,1,0,0,0,0,0,1,8,8,2,27.45758202256706
1,1,0,0,0,0,1,1,1,0,0,1,0,48,8,1,27.452257664295363
0,0,0,1,0,0,1,0,0,0,0,0,0,44,8,2,19.24
1,1,0,0,0,0,0,1,0,1,0,1,0,44,8,1,27.45210150217596
0,1,0,0,0,0,0,0,1,0,0,1,0,48,320,1,27.456267414024026
1,0,0,0,0,0,1,0,0,0,0,0,1,22,8,2,27.452905049555277
