NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,weight,selected
1,0,1,0,1,1,0,0,0,1,0,1,1,8,8,0,2.837017,1
0,0,0,0,0,0,0,0,1,0,0,0,1,8,8,2,1.3,0
1,0,1,1,0,1,1,0,0,1,0,1,0,22,8,0,1.711133,1
0,1,0,0,0,0,0,0,1,0,0,0,0,22,8,1,1.3,1
1,0,1,1,0,0,0,0,1,1,0,1,0,22,8,2,1.3,1
0,0,0,0,1,0,0,0,0,1,0,0,1,8,8,0,2.11665,1
1,0,0,1,0,1,0,0,0,1,1,1,0,22,160,0,1.3,1
1,0,1,1,0,1,0,0,0,1,1,1,0,22,160,0,1.3,1
1,0,1,1,0,1,1,0,0,1,0,1,0,22,160,0,1.711133,1
0,0,1,0,0,0,0,0,1,0,0,0,1,22,8,1,1.3,1
0,0,1,1,0,1,1,0,0,1,0,1,0,8,8,0,2.5648,1
1,0,1,1,0,1,1,0,0,1,0,1,0,8,8,0,2.5648,1
1,0,1,1,0,1,1,0,0,1,0,0,0,8,8,0,2.5648,1
1,0,1,1,0,0,1,0,0,1,0,1,0,22,8,0,1.4167,1
0,0,0,1,0,0,1,0,0,1,0,1,0,22,160,0,1.4167,1
1,0,1,1,1,1,0,0,0,1,0,1,0,8,8,0,2.38885,1
1,0,1,1,0,1,1,0,0,1,0,1,0,8,160,0,2.38885,1
1,0,0,0,0,0,1,0,0,1,0,1,1,8,8,1,2.38885,1
1,0,1,0,0,0,1,0,0,1,0,1,1,8,8,0,1.9333,1
0,0,0,1,0,0,1,0,0,1,0,1,0,8,8,0,2.0944,1
0,0,0,0,1,0,0,0,0,1,0,1,1,8,8,0,2.0944,1
