encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,weight,selected
0,1,0,0,1,0,0,1,1,1,0,2.0,1
1,1,0,0,1,0,0,0,0,0,0,1.571429,1
1,1,1,0,0,0,0,0,0,1,0,1.571429,1
1,1,0,1,0,0,0,0,0,0,0,1.571429,1
1,1,0,0,1,0,0,0,0,1,0,1.857143,1
1,0,0,0,0,0,1,0,1,0,0,1.857143,1
1,0,0,1,0,0,0,0,1,1,0,1.714286,1
1,0,0,0,1,0,0,1,1,0,1,0.285714,1
0,1,0,1,0,0,0,0,0,0,0,0.285714,1
1,0,0,0,1,0,0,1,1,0,0,0.285714,1
1,0,0,0,1,0,0,0,1,0,0,1.857143,1
1,0,0,0,1,0,0,0,1,0,1,1.285714,1
1,0,1,0,0,0,0,0,0,1,0,1.714286,1
0,0,0,0,1,0,0,0,0,1,0,1.714286,1
1,0,0,0,0,0,1,0,0,1,0,0.571429,1
0,0,0,0,1,0,0,0,0,0,0,0.571429,1
0,0,0,0,1,0,0,0,1,0,0,1.0,1
0,1,0,0,1,0,0,1,1,1,1,1.428571,1
0,0,0,0,0,0,1,0,1,0,0,1.285714,1
