id,8x8dct,analyse,aq-mode,aq-strength,b-adapt,bframes,cabac,chroma-qp-offset,crf,deblock,direct,fast-pskip,keyint,lookahead-threads,me,merange,mixed-refs,mbtree,nal-hrd,open-gop,profile,qcomp,qpmax,qpmin,rc-lookahead,ref,scenecut,subme,threads,trellis,weightb,weightp,EncodeTime
2002,1,p4x4,2,0.4771290174931774,1,9,1,-5,40.323908075426026,-6:6,spatial,1,450,4,dia,42,0,1,none,0,baseline,0.6493532546000097,24,3,207,2,80,0,2,0,0,0,324.8525880594855
1172,1,p4x4,2,1.8245416022471044,0,4,0,0,38.687654164818326,5:-5,none,1,350,3,tesa,14,1,1,none,1,baseline,0.7214316074693485,48,3,195,1,76,0,2,2,1,1,6.89
435,0,p4x4,2,1.8245416022471044,0,2,0,-11,38.687654164818326,5:-5,spatial,0,435,3,tesa,14,1,1,none,0,high,0.7214316074693485,48,3,195,2,76,0,51,0,0,1,1.55
435,0,p4x4,2,1.8245416022471044,0,2,0,11,38.687654164818326,5:-5,auto,0,350,3,tesa,14,1,1,none,1,baseline,0.7214316074693485,44,4,92,2,80,0,2,2,1,1,6.89
1436,1,p4x4,2,1.8245416022471044,0,2,0,1,38.687654164818326,5:-5,temporal,0,74,4,dia,15,1,1,none,1,high,0.7214316074693485,48,3,195,2,76,0,2,2,1,1,1.55
1320,1,p4x4,3,1.8245416022471044,0,2,0,-11,38.687654164818326,5:-5,spatial,0,435,3,esa,15,0,1,none,1,high,0.7214316074693485,48,3,43,2,6,0,51,2,0,2,2.11
435,1,p4x4,2,0.3090506641144154,0,10,0,-11,38.687654164818326,5:-5,spatial,0,435,3,tesa,14,1,1,none,0,high,0.7214316074693485,48,3,195,2,76,0,51,0,0,1,1.55
1320,1,all,2,1.819922213644557,0,13,0,-11,38.687654164818326,5:-5,auto,0,291,4,hex,15,0,1,none,1,baseline,0.2031162229431316,31,4,43,2,80,0,2,2,0,1,9.95
1320,1,p4x4,0,1.819922213644557,0,2,0,-11,38.687654164818326,5:-5,spatial,0,74,4,dia,15,1,1,none,0,high,0.7214316074693485,41,4,92,2,67,0,2,1,1,1,1.55
1320,0,p4x4,2,1.8245416022471044,2,2,0,-11,38.687654164818326,5:-5,spatial,0,74,4,dia,19,0,1,none,1,high,0.7214316074693485,35,3,195,2,92,0,51,2,0,0,5.12
