iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,time
0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,90,0.6011291813932376
1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,10,0.6018284531918914
0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,90,0.6075166162948599
0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,10,0.604406508451488
1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,10,0.6012997492184015
0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,10,0.43
0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,10,0.6086569103822554
0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,10,0.6088104206737334
0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,10,0.6075127763429948
0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,10,0.6019530945540458
0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,90,0.43
0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,10,0.47
0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,90,0.6064983131205224
1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,90,0.6055624418421903
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,90,0.44
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,90,0.6024925920861607
0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,10,0.601635856967847
0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,90,0.6040276132864263
1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,10,0.6074566924142172
