OPTIMIZE_IN_SELECT,OPTIMIZE_INSERT_FROM_SELECT,OPTIMIZE_TWO_EQUALS,OPTIMIZE_IN_LIST,OPTIMIZE_EVALUATABLE_SUBQUERIES,PAGE_STORE_TRIM,RECOMPILE_ALWAYS,COMPRESS,IGNORE_CATALOGS,OPTIMIZE_OR,PAGE_STORE_INTERNAL_COUNT,REUSE_SPACE,DROP_RESTRICT,DEFRAG_ALWAYS,OPTIMIZE_DISTINCT,MVSTORE,weight,selected
0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2.624983,1
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2.46295,1
0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1.581467,0
0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1.953347,1
1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,2.119973,1
0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1.459267,0
1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1.155533,0
0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1.155533,0
0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1.155533,0
1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1.155533,0
0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,2.3,1
0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1.577783,0
0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1.377767,0
0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1.377767,0
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1.977767,1
0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1.611133,1
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2.3222,1
0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1.611133,1
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1.611133,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.611133,1
0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1.611133,1
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1.8444,1
1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1.8444,1
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2.177733,1
1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.8444,1
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2.011067,1
0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2.011067,1
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2.011067,1
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2.011067,1
