auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,weight,selected
0,0,0,1,0,0,0,0,0,0,0,0,0.8722,0
0,0,0,0,0,0,0,0,0,0,0,0,1.225933,0
0,0,1,0,1,0,0,0,0,1,0,0,0.8722,0
1,0,0,0,0,1,0,0,0,0,0,0,1.64888,1
1,0,0,0,0,1,0,1,0,0,1,0,1.64888,1
1,0,0,0,0,1,0,0,0,0,1,0,1.64888,1
0,0,0,1,0,0,0,0,1,0,0,0,0.8722,0
0,0,0,0,0,0,0,0,1,0,0,1,0.8722,0
0,0,0,0,0,0,0,0,1,0,0,0,0.8722,0
0,0,0,0,0,0,0,0,1,1,0,0,0.8722,0
1,0,0,0,0,0,0,1,0,0,1,0,1.983333,1
1,0,0,0,0,0,0,0,0,0,1,0,1.9028,1
0,0,0,0,0,0,0,0,0,0,1,1,1.64445,0
0,0,0,0,0,0,0,1,0,0,1,0,1.1528,0
0,0,0,0,0,0,0,0,0,1,1,1,1.1528,0
0,0,0,0,0,0,0,0,0,0,1,0,1.64445,1
0,0,0,0,0,0,0,0,0,0,0,1,1.1528,0
0,0,0,0,0,0,0,0,0,1,0,0,1.1528,0
1,0,0,1,0,1,0,0,0,0,0,0,1.2111,0
0,0,0,0,0,1,0,0,0,0,0,0,1.2111,0
0,0,0,0,0,1,0,1,0,0,1,0,1.6111,0
1,0,0,1,0,1,0,0,0,0,0,1,1.53055,0
0,0,0,0,0,0,1,0,0,1,0,0,1.2694,0
0,0,0,0,0,0,1,1,0,1,1,0,1.2694,0
0,0,0,0,0,0,1,0,0,1,1,0,1.2694,0
1,0,0,0,1,0,1,1,0,0,1,0,1.8361,1
0,0,0,0,0,0,1,0,0,0,0,0,1.57775,0
1,0,0,0,0,0,1,1,0,1,1,0,1.8361,1
0,0,1,0,0,0,0,0,0,0,0,0,1.2694,0
0,0,0,1,0,0,0,0,0,0,1,1,1.2694,0
0,0,1,0,0,0,1,1,0,0,1,0,1.2694,0
1,0,0,0,0,1,1,0,0,1,1,0,1.35,0
1,0,0,0,1,1,0,0,0,0,1,0,1.35,0
1,0,0,0,0,1,1,1,0,1,1,0,1.35,0
0,0,0,0,0,0,1,0,0,0,1,1,1.3861,0
0,0,0,0,0,0,0,1,0,0,1,1,1.3861,0
0,0,0,0,1,0,0,0,0,0,1,0,1.3861,0
0,1,1,1,1,0,0,0,0,0,1,0,1.3861,0
0,0,1,1,0,0,0,0,1,0,1,0,1.3861,0
0,0,0,0,0,0,0,0,1,0,1,0,1.3861,0
1,1,0,0,0,0,0,1,0,0,0,0,1.9389,1
1,1,0,0,0,0,0,0,0,0,1,0,1.9389,1
1,1,0,0,0,0,0,0,0,0,0,0,1.9389,1
1,0,0,1,0,0,1,1,0,0,1,0,1.9389,1
1,0,0,0,1,0,0,1,0,0,1,0,1.7778,1
1,0,0,0,1,0,0,1,0,0,0,1,1.7778,1
1,1,0,1,0,0,1,0,0,0,1,0,1.725,1
1,1,0,0,0,0,0,0,0,0,0,1,1.725,1
1,1,0,0,0,0,0,1,0,1,0,0,1.725,1
1,1,0,0,1,0,0,1,0,1,0,0,1.725,1
1,0,0,0,0,0,1,1,0,0,1,0,1.725,1
1,0,0,1,1,0,0,0,0,0,1,0,1.725,1
