OPTIMIZE_IN_SELECT,OPTIMIZE_INSERT_FROM_SELECT,OPTIMIZE_TWO_EQUALS,OPTIMIZE_IN_LIST,OPTIMIZE_EVALUATABLE_SUBQUERIES,PAGE_STORE_TRIM,RECOMPILE_ALWAYS,COMPRESS,IGNORE_CATALOGS,OPTIMIZE_OR,PAGE_STORE_INTERNAL_COUNT,REUSE_SPACE,DROP_RESTRICT,DEFRAG_ALWAYS,OPTIMIZE_DISTINCT,MVSTORE,weight,selected
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2.21554,1
1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,2.416633,1
1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1.2333,1
0,1,0,1,0,0,0,1,1,1,0,1,0,1,1,0,1.2333,1
1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,2.099967,1
1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,2.4033,1
1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1.2333,1
1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1.2333,1
1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1.2333,1
1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1.2333,1
1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1.9611,1
0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2.401833,1
1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1.9611,1
0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1.4833,1
0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1.4833,1
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2.1111,1
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1.6889,1
1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,2.1111,1
0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,2.1111,1
0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,2.1111,1
