config_id,workload,time,max-resident-set-size
1,blue_sky_1080p25_short.y4m,2.9,251800
1,sintel_trailer_2k_720p24_short.y4m,0.41,126960
1,riverbed_1080p25_short.y4m,8.2,251800
1,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,7.91,753276
1,pedestrian_area_1080p25_short.y4m,3.8,251796
1,Johnny_1280x720_60_short.y4m,2.01,194872
1,sd_city_4cif_short.y4m,1.38,82864
1,sd_crew_cif_short.y4m,0.28,23340
1,sd_bridge_close_cif_short.y4m,0.17,23108
2,Johnny_1280x720_60_short.y4m,2.01,194628
2,sd_bridge_close_cif_short.y4m,0.17,23104
2,sd_city_4cif_short.y4m,1.39,79420
2,pedestrian_area_1080p25_short.y4m,3.79,251800
2,sintel_trailer_2k_720p24_short.y4m,0.4,126852
2,riverbed_1080p25_short.y4m,8.16,251576
2,sd_crew_cif_short.y4m,0.28,23340
2,blue_sky_1080p25_short.y4m,2.91,250772
2,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,7.86,753276
3,sd_bridge_close_cif_short.y4m,0.15,22164
3,sd_crew_cif_short.y4m,0.24,22396
3,sintel_trailer_2k_720p24_short.y4m,0.34,119984
3,pedestrian_area_1080p25_short.y4m,3.15,237464
3,riverbed_1080p25_short.y4m,6.65,236464
3,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,6.64,702640
3,sd_city_4cif_short.y4m,1.16,78152
3,blue_sky_1080p25_short.y4m,2.52,238264
3,Johnny_1280x720_60_short.y4m,1.72,188356
4,sd_city_4cif_short.y4m,1.38,82860
4,sintel_trailer_2k_720p24_short.y4m,0.4,127724
4,riverbed_1080p25_short.y4m,8.2,251580
4,pedestrian_area_1080p25_short.y4m,3.79,251796
4,sd_crew_cif_short.y4m,0.28,23340
4,Johnny_1280x720_60_short.y4m,2,192764
4,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,7.88,753276
4,sd_bridge_close_cif_short.y4m,0.17,23104
4,blue_sky_1080p25_short.y4m,2.9,251800
5,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,7.65,754516
5,sd_crew_cif_short.y4m,0.29,23316
5,blue_sky_1080p25_short.y4m,2.94,250764
5,Johnny_1280x720_60_short.y4m,1.93,194792
5,pedestrian_area_1080p25_short.y4m,3.86,253612
5,sd_bridge_close_cif_short.y4m,0.19,23076
5,sintel_trailer_2k_720p24_short.y4m,0.4,128284
5,riverbed_1080p25_short.y4m,8.42,251568
5,sd_city_4cif_short.y4m,1.39,82808
6,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,8.13,754532
6,riverbed_1080p25_short.y4m,8.24,251036
6,sd_city_4cif_short.y4m,1.39,81032
6,sd_bridge_close_cif_short.y4m,0.18,23104
6,sintel_trailer_2k_720p24_short.y4m,0.39,127592
6,pedestrian_area_1080p25_short.y4m,3.89,251800
6,blue_sky_1080p25_short.y4m,2.9,251576
6,sd_crew_cif_short.y4m,0.28,23340
6,Johnny_1280x720_60_short.y4m,2.01,193772
7,riverbed_1080p25_short.y4m,8.14,396864
7,Johnny_1280x720_60_short.y4m,2.11,286684
7,sintel_trailer_2k_720p24_short.y4m,0.44,200428
7,sd_crew_cif_short.y4m,0.27,27460
7,sd_bridge_close_cif_short.y4m,0.18,27408
7,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,8.09,1098008
7,pedestrian_area_1080p25_short.y4m,3.82,393124
7,blue_sky_1080p25_short.y4m,2.94,396868
7,sd_city_4cif_short.y4m,1.41,151412
8,pedestrian_area_1080p25_short.y4m,3.81,393124
8,sd_bridge_close_cif_short.y4m,0.18,27408
8,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,8.06,1098408
8,sintel_trailer_2k_720p24_short.y4m,0.44,200680
8,riverbed_1080p25_short.y4m,8.1,396860
8,sd_crew_cif_short.y4m,0.27,27464
8,sd_city_4cif_short.y4m,1.4,150576
8,blue_sky_1080p25_short.y4m,2.96,396860
8,Johnny_1280x720_60_short.y4m,2.11,302620
9,sd_bridge_close_cif_short.y4m,0.17,23104
9,blue_sky_1080p25_short.y4m,2.75,252568
9,Johnny_1280x720_60_short.y4m,1.93,193764
9,sd_crew_cif_short.y4m,0.26,23340
9,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,7.42,753280
9,sd_city_4cif_short.y4m,1.35,81036
9,riverbed_1080p25_short.y4m,7.69,252568
9,pedestrian_area_1080p25_short.y4m,3.52,251844
9,sintel_trailer_2k_720p24_short.y4m,0.38,127220
10,pedestrian_area_1080p25_short.y4m,3.85,251796
