encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,weight,selected
0,1,0,0,0,0,1,0,0,1,0,2.127273,1
0,0,0,0,0,1,0,0,1,0,0,1.848485,1
0,1,0,0,0,1,0,0,0,0,0,2.333333,1
1,0,0,0,0,0,1,0,0,1,0,1.681818,1
0,0,0,0,0,1,0,0,1,1,0,1.872727,1
0,0,0,0,0,1,0,1,0,1,0,1.792208,1
0,0,1,0,0,0,0,0,1,0,0,1.181818,0
1,1,0,0,0,0,1,0,1,1,0,1.181818,0
0,1,0,1,0,0,0,0,0,0,0,1.181818,1
0,0,0,1,0,0,0,0,1,0,0,1.181818,0
1,0,0,0,0,0,1,0,1,0,0,2.015152,1
0,0,0,0,0,1,0,0,0,1,0,1.984848,1
0,0,0,0,0,1,0,1,0,0,0,1.924242,1
0,0,0,0,0,1,0,0,0,0,0,2.204545,1
0,0,0,0,0,1,0,1,1,1,0,1.484848,1
1,1,0,0,0,1,0,0,0,0,0,2.0,1
0,1,0,0,1,0,0,0,1,0,1,2.233766,1
0,0,0,0,0,0,1,0,1,0,0,1.818182,1
0,0,0,0,1,0,0,0,0,0,0,1.272727,1
1,0,0,0,1,0,0,0,1,0,0,1.545455,1
0,1,0,0,1,0,0,0,0,0,0,1.5,1
0,1,0,0,1,0,0,0,0,0,1,1.363636,1
0,1,0,0,1,0,0,1,1,1,0,1.363636,1
