encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,weight,selected
0,0,0,1,0,0,0,1,1,1,0,1.0667,0
0,1,0,0,1,0,0,1,1,0,1,2.061744,1
0,0,0,1,0,0,0,1,1,0,0,2.290927,1
0,1,0,0,1,0,0,0,0,0,0,1.625967,1
1,1,0,0,1,0,0,0,0,0,0,2.356423,1
0,0,0,0,1,0,0,1,1,0,1,1.61115,1
1,1,0,0,1,0,0,0,0,0,1,1.905575,1
0,0,0,0,1,0,0,0,0,1,0,2.575573,1
0,0,0,0,1,0,0,0,0,1,1,0.8667,0
0,0,1,0,0,0,0,1,1,1,0,0.8667,0
0,1,0,0,1,0,0,0,1,0,1,2.23335,1
0,0,0,0,1,0,0,0,1,0,1,0.9667,0
0,1,0,1,0,0,0,1,1,1,0,1.78335,1
0,0,0,0,0,1,0,1,1,1,0,1.44445,1
0,0,0,0,0,1,0,0,1,0,0,1.3,0
1,0,0,1,0,0,0,1,0,1,0,2.077775,1
1,1,0,0,1,0,0,0,0,1,0,1.1111,0
1,1,0,0,0,1,0,0,0,0,0,1.744467,1
0,0,0,0,0,1,0,0,0,0,0,2.050025,1
0,1,0,0,1,0,0,0,0,0,1,1.2778,0
1,1,0,1,0,0,0,0,0,0,0,1.74445,1
0,1,0,0,0,1,0,0,0,0,0,1.937067,1
0,0,0,0,1,0,0,0,1,0,0,1.5556,1
0,0,0,0,1,0,0,0,0,0,1,1.4556,1
0,0,0,0,1,0,0,0,0,0,0,1.4556,1
1,0,0,0,1,0,0,0,1,0,0,1.85555,1
0,1,0,0,1,0,0,1,1,1,1,1.7111,1
