encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,weight,selected
0,1,0,0,1,0,0,0,1,0,1,1.944433,1
0,1,0,0,1,0,0,1,1,0,1,2.5911,1
1,0,1,0,0,0,0,0,1,0,0,1.9185,1
0,0,0,1,0,0,0,1,1,0,0,1.9185,1
1,1,0,0,1,0,0,0,0,1,0,2.60555,1
0,1,0,0,1,0,0,1,1,1,0,1.355567,1
1,1,0,0,1,0,0,0,0,0,1,2.2963,1
0,1,0,0,1,0,0,0,0,0,0,1.355567,1
0,0,0,0,1,0,0,1,1,0,1,1.355567,1
0,0,0,0,1,0,0,0,0,0,1,1.355567,1
1,0,1,0,0,0,0,0,0,1,0,1.5333,1
0,1,0,1,0,0,0,1,1,1,0,1.5333,1
0,0,0,0,1,0,0,0,0,1,0,1.933333,1
1,0,0,0,1,0,0,0,1,0,1,1.933333,1
0,1,0,0,1,0,0,0,0,0,1,1.933333,1
0,0,0,0,0,1,0,0,0,1,0,1.933333,1
