OPTIMIZE_IN_SELECT,OPTIMIZE_INSERT_FROM_SELECT,OPTIMIZE_TWO_EQUALS,OPTIMIZE_IN_LIST,OPTIMIZE_EVALUATABLE_SUBQUERIES,PAGE_STORE_TRIM,RECOMPILE_ALWAYS,COMPRESS,IGNORE_CATALOGS,OPTIMIZE_OR,PAGE_STORE_INTERNAL_COUNT,REUSE_SPACE,DROP_RESTRICT,DEFRAG_ALWAYS,OPTIMIZE_DISTINCT,MVSTORE,weight,selected
1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1.639343,0
1,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0.907914,0
1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0.907914,0
1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0.907914,0
1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0.907914,0
1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0.907914,0
1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0.907914,0
0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1.401029,0
0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0.907914,0
0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0.907914,0
1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1.792567,1
0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,2.310329,1
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2.206338,1
0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1.88885,1
1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,2.091239,1
0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1.361871,0
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2.434286,1
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2.189671,1
0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,2.260329,1
1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1.579343,0
0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,2.019048,1
0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1.887307,1
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1.447586,0
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2.139671,1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.985714,1
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2.147105,1
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.701543,1
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1.701543,1
1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1.941314,1
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1.7556,1
0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1.7556,1
0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1.698457,1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1.698457,1
