write,0,select,1,0.1,1.1,0.2,1.2,1.3,0.3,2,2674,27906,20834,36784,18392,24891,55070,35593,9450,8624,9,14473,1.4,36179,0.4,0.5,1.5,0.6,1.6,65028.69
writev,1,libev,0,1,0,0,1,1,0,2,3108,38232,55837,58042,29021,41311,3298,51470,15044,45008,2,24907,1,7302,1,0,0,1,643,74484.03
writev,0,poll,0,0,1,1,0,1,1,2,63337,5544,51002,20500,10250,44291,11565,3413,18121,17308,14,27134,0,44206,1,1,1,0,1556,10120.45
sendfile,0,select,1,0,0,1,0,0,0,1,20476,52112,45169,49540,24770,16101,40103,42796,59466,45388,12,14838,0,13728,0,1,0,1,2636,10323.65
sendfile,1,poll,1,1,1,0,1,1,1,2,63396,52797,19008,58841,29420,40559,12052,8766,56370,53451,2,51166,0,47889,1,1,1,1,959,54673.78
write,1,linux-sysepoll,0,1,0,1,1,1,2,0,8345,43492,12780,64778,32389,32981,35855,45745,15362,17480,10,60320,0,36095,1,1,1,1,1211,53942.8
writev,0,select,1,0,1,0,0,0,2,0,1368,37619,14411,40293,20146,62383,43187,4653,16889,63422,11,4498,1,17823,1,0,1,1,172,11643.72
sendfile,1,select,0,1,0,0,0,1,2,2,41964,11751,8546,33180,16590,31832,1389,16753,17017,47966,0,55153,1,25253,0,1,0,0,169,13887.46
writev,1,linux-sysepoll,0,0,1,0,1,0,2,0,45487,56810,35505,57123,28561,35297,36189,16126,13184,64987,12,16675,1,11106,1,0,0,0,192,64988.16
write,1,linux-sysepoll,1,0,1,0,1,0,1,1,1408,16766,19486,8469,4234,43331,29432,10789,24403,13399,12,31735,1,40682,0,1,0,1,191,69795.4
sendfile,1,libev,0,1,1,0,0,0,0,1,13300,43095,28796,34456,17228,51735,32132,13382,39185,27997,14,17557,1,45041,0,1,1,1,323,11391.71
write,1,libev,0,1,1,0,1,0,0,1,43090,20717,14955,20031,14740,38267,24676,59711,13770,57832,6,26242,1,2979,1,1,0,0,1223,16121.51
writev,0,linux-sysepoll,1,1,1,0,1,0,1,2,26888,41197,9080,53674,15906,1409,40018,34991,14764,43098,5,14278,0,50843,0,0,1,0,174,55818.64
write,1,linux-sysepoll,1,1,1,1,1,1,2,1,46322,33727,874,54886,18196,3909,37976,64953,12244,23970,1,40020,1,40297,0,0,0,0,1127,22835.0
writev,0,linux-sysepoll,0,0,1,1,0,0,1,0,27222,23683,5842,7464,991,52874,9077,33452,27442,36797,7,24637,1,64299,1,0,1,0,343,67641.8
writev,1,select,1,0,1,1,0,0,1,2,64978,48688,7819,51636,12681,44291,57763,53903,31739,30974,15,1689,0,43796,1,1,0,0,815,11730.39
sendfile,1,poll,0,0,1,1,0,1,2,0,29670,31357,60881,5784,14829,11618,6377,55477,3487,54462,16,10399,1,13511,1,1,0,1,2609,12552.51
writev,1,select,0,1,1,1,0,0,1,0,30493,2109,34573,11579,13494,3110,28394,30306,18771,33679,8,63329,0,38583,0,1,0,0,1744,15638.31
writev,1,poll,1,0,1,1,1,0,1,0,42832,38725,23577,16244,13270,41430,5254,56542,63133,37852,11,260,1,60516,1,1,0,1,1387,65684.58
writev,0,select,0,0,0,0,1,0,0,0,35960,25972,1355,44646,15205,22852,16189,31926,50095,58559,14,42345,1,45525,1,1,1,0,165,73610.96
write,0,select,0,1,1,1,1,1,1,2,26602,58479,984,58279,110,48180,64061,23901,23851,62397,4,47727,0,38063,1,0,0,0,2017,51183.51
writev,1,select,0,0,0,1,1,1,2,0,10583,4182,2709,36070,17783,63770,46270,21089,19133,20665,0,20934,1,46351,0,0,1,1,2160,738.8763260456003
writev,1,select,0,0,0,0,1,1,2,0,10583,4182,2709,36070,17783,63770,46270,38888,19133,9312,15,1438,1,18160,0,1,1,0,1473,738.8722746531247
writev,1,select,0,0,0,0,1,1,2,0,10583,4182,2709,36070,17783,63770,46270,21089,19133,20665,15,1438,1,18160,0,1,1,0,1473,738.8740025135833
write,0,select,0,0,1,0,1,0,1,2,26381,53481,30145,52219,13063,26580,10300,35719,22108,60007,5,52325,1,14718,0,0,1,0,2013,738.8788805990092
write,0,select,0,0,0,0,1,0,1,2,26381,53481,30145,52219,13063,26580,10300,35719,65001,62422,8,37417,1,7848,0,0,0,1,797,738.8733562631073
write,0,select,0,1,0,0,1,0,1,2,25700,2763,8648,45667,20921,46190,39420,63710,29869,18969,3,10646,1,49496,0,1,0,0,2029,738.8783953016615
write,1,select,1,0,1,1,1,0,2,2,2414,11306,15073,18828,9414,30271,3893,31704,29869,57100,15,22477,1,13514,1,0,1,1,160,738.8733008280703
write,1,select,1,0,1,1,1,0,2,2,2414,11306,15073,18828,9414,30271,3893,31704,29869,63860,15,22477,1,13514,1,0,0,1,160,738.875235425722
write,0,select,1,0,1,1,1,0,2,2,2414,11306,15073,18828,9414,30271,3893,31704,29869,57950,15,22477,1,13514,1,0,0,1,160,738.876043291287
write,0,select,1,0,0,1,1,1,0,1,42930,18382,51470,57694,6771,48283,62146,44221,13042,11131,7,34162,0,53288,1,1,1,0,195,738.8749349783689
writev,0,poll,1,0,1,0,0,0,1,1,1408,16766,19486,8469,4234,43331,29432,10789,24403,13399,12,31735,1,40682,0,1,0,0,191,69795.4
write,1,linux-sysepoll,1,0,1,0,1,0,1,0,42832,38725,23577,56998,13270,41430,5254,56542,63133,37852,11,260,1,60516,1,1,0,1,1387,68886.56
writev,0,linux-sysepoll,0,0,1,1,0,0,1,0,27222,23683,5842,7464,11768,1680,9077,33452,27442,36797,7,24637,1,64299,1,1,1,1,2609,12124.05
sendfile,1,poll,0,0,1,1,0,1,1,0,29670,31357,57974,5784,14829,11618,6377,55477,3487,54462,16,10399,1,13511,1,0,1,0,343,13158.1
