encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,weight,selected
1,1,0,0,0,1,0,1,0,0,0,1.033333,1
0,1,1,0,0,0,0,1,0,0,0,2.03,1
1,1,0,0,0,1,0,0,0,0,0,1.911111,1
1,0,0,0,0,0,1,1,0,0,0,1.785714,1
0,1,0,0,0,1,0,0,0,0,0,2.375,1
0,0,0,0,0,1,0,0,0,0,0,2.384615,1
0,0,0,0,0,1,0,1,1,1,0,1.7,1
1,1,0,0,1,0,0,0,0,1,0,2.23,1
0,0,1,0,0,0,0,0,1,0,0,0.3,1
0,1,1,0,0,0,0,1,0,1,0,0.3,1
0,1,0,0,1,0,0,0,0,0,0,1.4,1
0,0,0,0,0,1,0,0,1,0,0,2.14,1
1,1,0,0,1,0,0,0,0,0,0,1.88,1
0,0,0,0,0,1,0,0,1,1,0,1.725,1
0,0,0,0,1,0,0,0,0,1,0,2.08,1
0,0,0,0,0,1,0,0,0,1,0,1.55,1
0,0,0,0,1,0,0,0,1,0,0,1.766667,1
0,0,0,0,1,0,0,1,0,0,1,1.5,1
1,0,0,0,1,0,0,0,1,0,0,1.6,1
