encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,weight,selected
0,0,0,0,1,0,0,0,0,1,0,2.527407,1
1,1,0,0,1,0,0,0,0,0,0,2.117173,1
0,0,0,0,0,1,0,1,1,1,0,1.811125,1
1,1,0,0,1,0,0,0,0,1,0,2.022225,1
0,1,1,0,0,0,0,1,1,1,0,0.7111,1
1,1,0,0,1,0,0,0,1,0,1,0.7111,1
0,0,0,0,0,1,0,0,1,1,0,1.959256,1
0,0,0,0,1,0,0,1,1,0,1,1.859233,1
0,0,0,0,1,0,0,0,0,1,1,1.5,1
0,1,0,0,1,0,0,0,1,0,1,2.609806,1
1,1,0,0,1,0,0,0,0,0,1,2.0111,1
1,1,1,0,0,0,0,0,0,1,0,2.011125,1
0,1,0,0,1,0,0,1,1,1,0,2.12002,1
0,0,0,0,1,0,0,0,1,0,0,1.43335,1
0,0,0,0,0,1,0,0,0,0,0,2.116675,1
0,0,0,0,0,1,0,0,0,1,0,1.98335,1
0,0,0,0,1,0,0,0,1,0,1,1.7111,1
0,0,0,0,0,0,1,0,1,0,0,1.7778,1
1,1,0,0,0,1,0,0,0,0,0,1.9,1
0,0,0,0,1,0,0,0,0,0,0,1.8333,1
