iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,time
0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,90,4.952283727511243
0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,10,4.955691142438877
0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,10,4.952931067343676
0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,90,1.82
0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,90,4.954937861938538
0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,10,4.958515117714712
0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,90,4.952738726817436
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,10,1.98
0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,90,4.952078660454468
0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,90,4.958352192119865
0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,10,4.951725392383101
1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,90,4.952787373859501
0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,10,2.04
0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,90,4.952075315484301
0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,90,4.955828349571518
0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,90,4.9572820672592375
0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,10,1.99
0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,10,4.954387802868511
