encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,weight,selected
0,0,0,0,1,0,0,0,0,0,1,1.4667,1
0,0,0,0,1,0,0,0,0,0,0,1.4667,1
1,1,0,0,1,0,0,0,0,0,1,2.570367,1
1,1,0,0,1,0,0,0,0,0,0,2.570367,1
1,0,0,1,0,0,0,0,1,1,0,1.4667,1
0,0,0,0,1,0,0,0,1,0,1,2.54445,1
0,0,0,1,0,0,0,1,1,0,0,1.4667,1
0,0,0,0,0,1,0,1,1,1,0,1.4667,1
1,1,0,0,1,0,0,0,1,0,1,1.4667,1
1,1,0,0,1,0,0,1,0,1,0,1.4667,1
0,1,0,0,0,1,0,0,0,0,0,2.1222,1
0,0,0,0,1,0,0,0,0,1,0,2.1222,1
0,1,0,0,1,0,0,1,1,1,0,2.1222,1
0,0,0,0,0,1,0,0,0,0,0,2.1222,1
1,1,0,0,1,0,0,0,0,1,0,2.1222,1
