OPTIMIZE_IN_SELECT,OPTIMIZE_INSERT_FROM_SELECT,OPTIMIZE_TWO_EQUALS,OPTIMIZE_IN_LIST,OPTIMIZE_EVALUATABLE_SUBQUERIES,PAGE_STORE_TRIM,RECOMPILE_ALWAYS,COMPRESS,IGNORE_CATALOGS,OPTIMIZE_OR,PAGE_STORE_INTERNAL_COUNT,REUSE_SPACE,DROP_RESTRICT,DEFRAG_ALWAYS,OPTIMIZE_DISTINCT,MVSTORE,weight,selected
0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1.651568,0
1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1.356595,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1.657123,1
1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0.952414,0
1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0.952414,0
1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0.952414,0
1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0.952414,0
1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0.952414,0
1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0.952414,0
1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0.952414,0
0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1.942824,1
1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,2.326954,1
1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1.272971,0
1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1.272971,0
1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1.590443,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.590443,0
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2.456486,1
0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1.77775,1
0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1.393629,0
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.865057,1
1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1.358686,0
1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,2.011614,1
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2.011614,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.865057,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.358686,0
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1.909507,1
0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1.590443,0
0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,2.176705,1
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1.590443,0
0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1.909507,1
0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1.8,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2.041264,1
0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1.853957,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1.853957,1
1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1.853957,1
0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1.853957,1
0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1.853957,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1.853957,1
