NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,time
0,1,1,0,1,1,0,0,0,0,1,1,1,22,8,0,4.811169955738987
1,0,0,1,0,0,0,0,0,0,1,0,0,48,320,0,4.818163179481285
0,0,0,1,0,0,0,1,0,0,0,0,0,44,8,0,1.91
1,0,1,1,0,0,0,1,0,0,0,1,1,8,8,0,4.816596845416669
1,1,0,0,0,0,1,0,1,0,1,1,0,48,8,0,4.811288907023494
0,0,0,0,0,0,1,0,0,1,0,1,0,8,8,1,4.81338987188163
0,0,0,1,0,0,0,0,0,0,0,0,0,8,8,1,4.8120991939994955
1,1,0,0,0,0,1,1,0,1,1,1,0,22,8,1,4.818692001528049
0,1,0,0,0,1,0,0,0,1,0,1,1,44,8,0,4.8121042472463165
1,0,1,0,1,0,0,0,1,0,0,0,0,22,320,0,4.817370115482018
1,0,1,0,0,0,0,1,0,0,0,0,0,22,160,0,4.818252168631217
0,1,1,1,0,1,0,0,0,1,0,0,1,8,8,0,4.818196935112772
