encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,weight,selected
0,1,0,0,1,0,0,1,1,1,0,2.415821,1
0,1,0,0,1,0,0,1,1,1,1,2.273588,1
1,0,0,1,0,0,0,1,0,1,0,2.576466,1
0,1,0,1,0,0,0,1,1,1,0,2.372808,1
0,0,0,0,1,0,0,0,1,0,1,2.004018,1
0,1,0,1,0,0,0,1,0,1,0,1.026218,0
1,0,0,0,1,0,0,1,1,0,1,1.026218,0
0,1,0,0,1,0,0,0,1,1,1,1.026218,0
0,1,0,1,0,0,0,0,1,0,0,1.026218,0
0,0,0,0,1,0,0,1,0,0,0,1.026218,0
0,1,0,0,1,0,0,0,1,0,1,2.157167,1
0,1,0,0,1,0,0,1,1,0,1,2.276765,1
0,0,0,0,1,0,0,0,0,1,0,2.483978,1
0,1,0,0,0,1,0,0,0,0,0,2.478039,1
0,0,0,1,0,0,0,1,1,1,0,1.278805,0
0,1,0,1,0,0,0,1,0,0,0,2.102361,1
0,0,0,0,1,0,0,0,1,0,0,1.673732,1
0,0,0,0,0,1,0,0,1,0,0,2.235861,1
0,0,0,0,1,0,0,0,0,0,0,1.503064,1
0,0,0,0,1,0,0,0,0,0,1,1.957609,1
1,0,0,0,1,0,0,0,1,0,1,2.076268,1
0,0,0,0,0,1,0,0,0,0,0,2.078118,1
0,0,0,0,1,0,0,1,0,0,1,2.070718,1
0,0,0,0,0,1,0,1,0,1,0,1.8667,1
0,1,0,0,0,0,1,0,0,1,0,2.002009,1
0,0,0,0,0,1,0,0,0,1,0,2.002009,1
