workload,DLiSA-B4_Mean,DLiSA_Mean,Wilcoxon_p,A12,Label
ambivert,1.0578999999999998,1.1003999999999998,0.38684200196812946,0.53545,0
artificl,0.1356,0.138,0.19929819395216763,0.55135,0
deepfield,0.2612,0.26449999999999996,0.3108735470352263,0.54055,0
enwik8,1.4213000000000005,1.4997999999999996,0.4860662867925196,0.5285500000000001,0
fannie_mae_500k,1.0226,1.0146,0.9386222399424905,0.5032,0
large,0.4161000000000001,0.4241,0.592165378637819,0.52195,0
misc,0.1816,0.1862,0.1387487674367794,0.5602,0
silesia,2.6598999999999995,2.4958,0.938640740626646,0.5032,0
vmlinux,0.7472999999999999,0.7927000000000001,0.2676237990675093,0.5454,0
