workload,DLiSA-B4_Mean,DLiSA_Mean,Wilcoxon_p,A12,Label
corona,0.9106000000000002,0.9112000000000002,0.24797421795365626,0.5412,0
cranium,1.3432000000000002,1.3452000000000002,0.0590426127703478,0.56975,0
cubus,4.2098,4.211200000000001,0.7528135879778977,0.5124500000000001,0
flame,1.1995,1.2003,0.4854528619245637,0.5263,0
france,2.4059,2.4112999999999998,0.1948732957575241,0.54825,0
frisco,3.1766,3.1794,0.7969825127648391,0.5099,0
jelly,1.1365999999999996,1.1394,0.10778651473734813,0.5583,0
karte,7.075799999999999,7.0863999999999985,0.42743539444519885,0.53005,0
mandelbrot,1.0495000000000003,1.0512000000000001,0.7421353853529411,0.5126,0
strawberry,1.1202999999999999,1.1193,0.5114839315636184,0.5213,0
village,1.6258000000000004,1.6296000000000004,0.45180327453303804,0.52715,0
