workload,DLiSA-B4_Mean,DLiSA-BI_Mean,Wilcoxon_p,A12,Label
AUFNIRA_z3.637557.smt2,5.856400000000001,5.8565000000000005,0.814833970776512,0.508,0
LRA_formula_277.smt2,2.0044999999999997,2.0247999999999995,0.7259441198891445,0.5118,0
QF_AUFBV_891_sqlite3.smt2,0.3429,0.24999999999999992,0.6907583334538911,0.5145,0
QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,2.3021,2.2949,0.1379084441241011,0.55175,0
QF_BV_bench_3176.smt2,3.1482000000000006,3.1545000000000005,0.9749948234657699,0.50125,0
QF_BV_bench_935.smt2,1.3304999999999996,1.3069,0.5450452545608631,0.5152,0
QF_LIA_tightrhombus,0.2477,0.2211,0.3115726562882273,0.5206,0
QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,8.7466,8.746699999999999,0.8854460746945785,0.50495,0
QF_NRA_hong_9.smt2,3.1807000000000003,3.1814,0.10776909413382392,0.5349999999999999,0
QF_RDL_orb08_888.smt2,6.796900000000001,6.766600000000002,0.41791473630541165,0.5331,0
QF_UFLIA_xs_23_43.smt2,7.887600000000001,7.867000000000001,0.9771137050801878,0.5012,0
QF_UF_PEQ018_size6.smt2,3.8897000000000004,3.8929,0.07886012877192655,0.5673,0
