workload,DLiSA-B4_Mean,DLiSA-BII_Mean,Wilcoxon_p,A12,Label
ambivert.wav.tar,3.8376000000000006,3.9361,0.15133982730562986,0.5587500000000001,0
artificl.tar,0.011700000000000002,0.012100000000000001,0.5661757952852554,0.5158499999999999,0
deepfield.tar,3.8377,3.7263000000000006,0.6668253547334877,0.51765,0
enwik8.tar,11.189599999999999,11.470100000000002,0.6724551965250887,0.51735,0
fannie_mae_500k.tar,11.378899999999998,11.561200000000001,0.8555186554623795,0.5075000000000001,0
large.tar,1.6947,1.7002000000000002,0.5931138575215289,0.5219,0
misc.tar,0.2016,0.19830000000000003,0.12820781084191862,0.5592,0
silesia.tar,23.7858,25.442200000000007,0.07706787838195847,0.5724,0
uiq-32.bin,21.507400000000004,22.110600000000005,0.9105010588030849,0.50465,0
uiq2-16.bin,10.862400000000001,10.908400000000002,0.9250451602983829,0.5039,0
uiq2-4.bin,2.7596,2.7653000000000003,0.5981975020680443,0.5216000000000001,0
uiq2-8.bin,5.307099999999999,5.3735,0.7248856351714171,0.51445,0
vmlinux-5.10.tar,2.8939000000000004,2.9978999999999996,0.5208035059756201,0.5263,0
