workload,DLiSA-B4_Mean,DLiSA-BII_Mean,Wilcoxon_p,A12,Label
ambivert.wav.tar,3.1357999999999997,3.1397000000000004,0.11899432863968319,0.55965,0
artificl.tar,0.03,0.0302,0.1583356251099668,0.51,0
deepfield.tar,3.3104,3.3102,0.9539537306659006,0.50215,0
enwik8.tar,7.1525,7.1701,0.7110567957357941,0.5124500000000001,0
fannie_mae_500k.tar,33.483799999999995,33.4394,0.15712106063146208,0.5487,0
large.tar,0.9721999999999998,0.9732000000000001,0.2862095230699586,0.531,0
misc.tar,0.19379999999999994,0.1954,0.03725934479274528,0.5738,1
silesia.tar,10.907600000000008,10.916200000000003,0.048349271842304704,0.5635,1
uiq-32.bin,9.175,9.2392,0.24371509573250816,0.54505,0
uiq2-16.bin,5.38,5.4474,0.19388539343850897,0.54525,0
uiq2-4.bin,2.0913999999999997,2.0965000000000003,0.8506188560716006,0.5071,0
uiq2-8.bin,3.5083,3.4970999999999997,0.31769017803687827,0.53835,0
vmlinux-5.10.tar,2.5293,2.5324999999999998,0.12140877966435493,0.55035,0
