workload,DLiSA-B4_Mean,DLiSA-BI_Mean,Wilcoxon_p,A12,Label
jpeg-large,1.8246000000000004,1.8526000000000002,7.589034741981005e-05,0.66015,1
jpeg-medium,1.1034999999999997,1.13,5.346263768497518e-05,0.66395,1
jpeg-small,0.3732,0.3751,0.1154998199132125,0.5595,0
png-large,1.5907000000000002,1.6023999999999998,0.02781005722931082,0.5886,1
png-medium,0.5003,0.5029,0.17749436504800697,0.55335,0
png-small,0.37929999999999997,0.38370000000000004,0.0012899803298498569,0.6233,1
psd-large,16.599900000000005,17.087000000000003,0.0009718326127748541,0.633,1
psd-medium,1.0273,1.0316,0.23222712408901924,0.54825,0
psd-small,0.4750999999999999,0.47889999999999994,0.00949255929842966,0.603,1
svg-large,1.4328000000000003,1.4328999999999998,0.6594306355722823,0.5169,0
svg-medium,1.4434999999999996,1.4454999999999996,0.9114088203199674,0.5045,0
svg-small,0.4888000000000001,0.4882000000000001,0.5577949713633312,0.5219,0
