workload,DLiSA-B4_Mean,DLiSA-BII_Mean,Wilcoxon_p,A12,Label
jpeg-large,1.8246000000000004,1.8357,0.000961882132575903,0.6335999999999999,1
jpeg-medium,1.1034999999999997,1.1305999999999998,1.8818858407669513e-05,0.6736500000000001,1
jpeg-small,0.3732,0.37589999999999996,0.019825199510290853,0.5882499999999999,1
png-large,1.5907000000000002,1.6071000000000004,0.0019522529240445043,0.62475,1
png-medium,0.5003,0.5067,0.006828400213551887,0.6079,1
png-small,0.37929999999999997,0.3849,0.00028862026274919074,0.6401,1
psd-large,16.599900000000005,16.6081,0.0017531879296692522,0.6262,1
psd-medium,1.0273,1.0358999999999998,0.07693158105709005,0.5714,0
psd-small,0.4750999999999999,0.4802999999999999,0.0004539777178430042,0.6394500000000001,1
svg-large,1.4328000000000003,1.4339,0.4710060930024793,0.52735,0
svg-medium,1.4434999999999996,1.4484999999999997,0.04534840407612372,0.5802,1
svg-small,0.4888000000000001,0.4893,0.6367755072518311,0.5178499999999999,0
