workload,DLiSA-B4_Mean,DLiSA-BII_Mean,Wilcoxon_p,A12,Label
AUFNIRA_z3.637557.smt2,5.856400000000001,5.8875,0.22553339523860805,0.54245,0
LRA_formula_277.smt2,2.0044999999999997,1.9626,0.4480538283595653,0.5246,0
QF_AUFBV_891_sqlite3.smt2,0.3429,0.45730000000000004,0.1483993053192034,0.5540499999999999,0
QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,2.3021,2.3328,0.09287912744399289,0.56195,0
QF_BV_bench_3176.smt2,3.1482000000000006,3.165799999999999,0.04112417476175058,0.5795,1
QF_BV_bench_935.smt2,1.3304999999999996,1.3279999999999996,0.22732743195827776,0.53155,0
QF_LIA_tightrhombus,0.2477,0.2675,0.09795029034814925,0.5421,0
QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,8.7466,8.7475,0.1573536580891054,0.54625,0
QF_NRA_hong_9.smt2,3.1807000000000003,3.1820000000000004,0.007335656673262484,0.565,1
QF_RDL_orb08_888.smt2,6.796900000000001,6.789300000000001,0.4029373051575378,0.5342,0
QF_UFLIA_xs_23_43.smt2,7.887600000000001,7.982800000000001,0.0494594870084828,0.57885,1
QF_UF_PEQ018_size6.smt2,3.8897000000000004,3.886999999999999,0.6960980498965524,0.5151,0
