workload,DLiSA-B4_Mean,DLiSA_Mean,Wilcoxon_p,A12,Label
ambivert.wav.tar,3.1357999999999997,3.139100000000001,0.2824157096321728,0.54105,0
artificl.tar,0.03,0.0301,0.3221741190216618,0.505,0
deepfield.tar,3.3104,3.3074,0.34290446731377033,0.53405,0
enwik8.tar,7.1525,7.1574,0.32814198403270056,0.53085,0
fannie_mae_500k.tar,33.483799999999995,33.421899999999994,0.3207419004048927,0.5313,0
large.tar,0.9721999999999998,0.9725999999999999,0.8323365590094614,0.5059,0
misc.tar,0.19379999999999994,0.1935,0.6613421775299936,0.515,0
silesia.tar,10.907600000000008,10.912800000000004,0.39651952620580955,0.526,0
uiq-32.bin,9.175,9.1905,0.5299515583504405,0.52395,0
uiq2-16.bin,5.38,5.3557999999999995,0.4998768386228438,0.5224,0
uiq2-4.bin,2.0913999999999997,2.0916,0.5851563125489618,0.5203,0
uiq2-8.bin,3.5083,3.504599999999999,0.5782334692736011,0.52145,0
vmlinux-5.10.tar,2.5293,2.533,0.09904971662601392,0.5539499999999999,0
