workload,DLiSA-B4_Mean,DLiSA-BII_Mean,Wilcoxon_p,A12,Label
corona,0.9106000000000002,0.9151,0.0008404396615548563,0.62505,1
cranium,1.3432000000000002,1.3470000000000004,0.00010797683857969742,0.64825,1
cubus,4.2098,4.219100000000001,0.004095589474991014,0.6145499999999999,1
flame,1.1995,1.2074,0.007422709399399271,0.60165,1
france,2.4059,2.4299,1.7236825508138516e-06,0.6858500000000001,1
frisco,3.1766,3.1965000000000003,0.003034434058887504,0.61695,1
jelly,1.1365999999999996,1.1429,0.0008132091992863831,0.625,1
karte,7.075799999999999,7.097199999999999,0.007306128055119382,0.6053,1
mandelbrot,1.0495000000000003,1.0549000000000002,0.005819930151341346,0.6073999999999999,1
strawberry,1.1202999999999999,1.1214,0.03550159660653907,0.5749500000000001,1
village,1.6258000000000004,1.6453000000000002,2.1604614428756777e-05,0.66265,1
