workload,DLiSA-B4_Mean,DLiSA_Mean,Wilcoxon_p,A12,Label
AUFNIRA_z3.637557.smt2,5.856400000000001,5.8699,0.09022864749778463,0.56,0
LRA_formula_277.smt2,2.0044999999999997,1.8392000000000002,0.0043102562400824445,0.58595,-1
QF_AUFBV_891_sqlite3.smt2,0.3429,0.32059999999999994,0.8642024306063283,0.5063,0
QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,2.3021,2.2983,0.33475523093341386,0.5355,0
QF_BV_bench_3176.smt2,3.1482000000000006,3.1713,0.13585559857461255,0.55795,0
QF_BV_bench_935.smt2,1.3304999999999996,1.3394999999999992,0.4016909947235362,0.52135,0
QF_LIA_tightrhombus,0.2477,0.23970000000000002,0.965902320597361,0.501,0
QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,8.7466,8.7472,0.34365845807405815,0.5314,0
QF_NRA_hong_9.smt2,3.1807000000000003,3.1817000000000006,0.030131805960153715,0.55,0
QF_RDL_orb08_888.smt2,6.796900000000001,6.8016000000000005,0.5408505346167037,0.525,0
QF_UFLIA_xs_23_43.smt2,7.887600000000001,7.987100000000001,0.024582902707766044,0.5904499999999999,1
QF_UF_PEQ018_size6.smt2,3.8897000000000004,3.8852999999999995,0.8521705705804224,0.50715,0
