workload,DLiSA-B4_Mean,DLiSA-BI_Mean,Wilcoxon_p,A12,Label
corona,0.9106000000000002,0.9161000000000001,0.001168677947546385,0.6211,1
cranium,1.3432000000000002,1.3447,0.000282220947642168,0.6393,1
cubus,4.2098,4.210100000000001,0.0955249469622346,0.5662,0
flame,1.1995,1.2012,0.4702543458511811,0.52755,0
france,2.4059,2.4156,0.030131807962617718,0.5818,1
frisco,3.1766,3.1938,0.05531744297694408,0.57515,0
jelly,1.1365999999999996,1.1403999999999999,0.005624539247442312,0.6028,1
karte,7.075799999999999,7.099799999999999,0.04707905467489301,0.5775,1
mandelbrot,1.0495000000000003,1.0519000000000005,0.3992896366398442,0.53225,0
strawberry,1.1202999999999999,1.1196,0.6384110717149061,0.51595,0
village,1.6258000000000004,1.6361,0.0002918348210059055,0.6386499999999999,1
