workload,DLiSA-B4_Mean,DLiSA_Mean,Wilcoxon_p,A12,Label
jpeg-large,1.8246000000000004,1.8388,0.2657408000043,0.5449999999999999,0
jpeg-medium,1.1034999999999997,1.1176999999999997,0.01069827020886647,0.6031500000000001,1
jpeg-small,0.3732,0.37389999999999995,0.6479212335794058,0.5172,0
png-large,1.5907000000000002,1.5942,0.12956466926173243,0.5608,0
png-medium,0.5003,0.5005000000000002,0.9053049233211833,0.50475,0
png-small,0.37929999999999997,0.38270000000000004,0.017188894765271162,0.5912,1
psd-large,16.599900000000005,16.7436,0.23121493352894107,0.5479,0
psd-medium,1.0273,1.0324,0.1361720605402964,0.5602,0
psd-small,0.4750999999999999,0.47930000000000006,0.01895815232056933,0.5935,1
svg-large,1.4328000000000003,1.4336000000000002,0.8714647040024233,0.50605,0
svg-medium,1.4434999999999996,1.4448999999999999,0.7588856636780987,0.51205,0
svg-small,0.4888000000000001,0.49130000000000007,0.024996382185802735,0.5844,1
