workload,DLiSA-B4_Mean,DLiSA-BI_Mean,Wilcoxon_p,A12,Label
ambivert.wav.tar,3.1357999999999997,3.1368999999999994,0.3181961815340668,0.538,0
artificl.tar,0.03,0.0302,0.1583356251099668,0.51,0
deepfield.tar,3.3104,3.3081000000000005,0.0591968405569744,0.56635,0
enwik8.tar,7.1525,7.1602,0.1910429590126973,0.5420499999999999,0
fannie_mae_500k.tar,33.483799999999995,33.4329,0.8975177369057612,0.5043,0
large.tar,0.9721999999999998,0.9721000000000001,0.9148935465132114,0.503,0
misc.tar,0.19379999999999994,0.1946,0.29225868895255147,0.5368999999999999,0
silesia.tar,10.907600000000008,10.916900000000005,0.006194236357845595,0.59055,1
uiq-32.bin,9.175,9.2375,0.134659279512302,0.55725,0
uiq2-16.bin,5.38,5.397699999999999,0.610178028329559,0.51755,0
uiq2-4.bin,2.0913999999999997,2.0951999999999997,0.6842959900654974,0.5151,0
uiq2-8.bin,3.5083,3.5000999999999998,0.13442864683041614,0.55745,0
vmlinux-5.10.tar,2.5293,2.5290999999999997,0.5266450114991839,0.5201,0
