workload,DLiSA-B4_Mean,DLiSA-BI_Mean,Wilcoxon_p,A12,Label
ambivert.wav.tar,3.8376000000000006,4.459099999999999,1.9231923308667663e-05,0.6749,1
artificl.tar,0.011700000000000002,0.0132,0.013958159648494613,0.575,1
deepfield.tar,3.8377,4.409700000000001,3.72769237786797e-05,0.66875,1
enwik8.tar,11.189599999999999,12.883300000000002,0.0008004362348711454,0.63725,1
fannie_mae_500k.tar,11.378899999999998,13.003900000000002,0.005626873935901839,0.6133500000000001,1
large.tar,1.6947,1.9422000000000004,0.00043429927470994817,0.64395,1
misc.tar,0.2016,0.20280000000000004,0.758349361066383,0.51195,0
silesia.tar,23.7858,28.1118,3.179229416606144e-05,0.6703,1
uiq-32.bin,21.507400000000004,25.276000000000007,7.055069276153524e-05,0.6627000000000001,1
uiq2-16.bin,10.862400000000001,12.392500000000002,0.005421437781740229,0.61385,1
uiq2-4.bin,2.7596,3.111,0.0020580157707754346,0.6261,1
uiq2-8.bin,5.307099999999999,6.079300000000001,0.0012607228989060517,0.632,1
vmlinux-5.10.tar,2.8939000000000004,3.3744,1.3370681326822703e-05,0.67815,1
