encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,weight,selected
0,1,1,0,0,0,0,1,0,0,0,2.284129,1
1,0,0,1,0,0,0,1,0,1,0,2.441679,1
0,1,0,1,0,0,0,1,0,0,0,2.613896,1
0,1,0,0,0,1,0,0,0,0,0,2.76223,1
1,1,0,0,0,0,1,0,0,0,0,2.24222,1
1,1,0,0,0,1,0,0,1,0,0,1.244433,1
1,1,0,0,0,0,1,1,0,1,0,1.244433,1
0,1,1,0,0,0,0,1,0,1,0,1.244433,1
0,1,0,1,0,0,0,1,0,1,0,1.244433,1
1,1,1,0,0,0,0,0,1,0,0,1.244433,1
1,0,0,0,0,0,1,0,1,0,0,2.033333,1
1,0,0,1,0,0,0,0,1,1,0,2.233333,1
1,1,0,0,1,0,0,0,0,0,1,1.466667,1
0,0,0,0,0,0,1,0,1,0,0,2.433342,1
0,1,0,1,0,0,0,1,1,1,0,2.255567,1
0,0,0,0,1,0,0,0,1,0,0,1.944467,1
1,1,0,0,0,1,0,0,0,0,0,1.944467,1
