NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,weight,selected
0,0,1,1,1,0,0,0,0,0,0,0,0,8,8,0,2.685183,1
1,0,0,1,0,0,0,1,0,1,0,0,0,8,8,0,2.846922,1
0,1,0,0,1,0,0,0,0,0,0,0,0,8,8,2,2.0389,1
0,0,0,1,0,0,0,0,1,1,0,0,0,8,8,0,1.6963,1
0,1,0,0,1,0,0,0,0,0,0,1,0,8,8,0,1.3111,1
1,1,0,0,1,0,0,0,0,0,0,0,0,8,8,0,1.3111,1
1,1,1,0,0,0,0,0,1,1,0,0,0,44,8,2,1.3111,1
0,1,1,0,0,1,0,1,0,0,0,1,0,8,160,0,1.3111,1
1,0,0,1,0,0,0,1,0,0,0,1,0,22,8,1,1.3111,1
0,0,0,1,0,0,0,1,0,1,0,1,0,22,8,1,1.3111,1
1,0,0,1,0,0,0,0,1,1,0,0,0,8,8,0,2.6389,1
1,0,1,1,1,1,0,0,0,1,0,0,0,8,8,0,2.266667,1
1,0,1,1,1,1,0,0,0,1,0,1,0,8,160,0,2.6389,1
0,1,0,0,0,0,0,0,1,0,0,0,0,8,8,0,2.422233,1
0,1,0,0,0,0,0,1,0,0,0,0,0,8,8,2,2.1667,1
1,0,1,1,1,1,0,0,0,1,0,0,0,8,160,0,1.5778,1
0,0,0,1,0,0,0,0,0,0,1,0,0,8,8,2,2.24445,1
1,0,1,1,0,1,0,1,0,1,0,0,0,8,8,0,2.24445,1
1,0,0,1,0,0,1,0,0,1,0,0,0,8,8,0,1.9556,1
