iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,weight,selected
0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,90,1.455533,1
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,10,0.911133,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,90,1.57776,1
1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,90,0.911133,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,90,1.2,0
1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,90,0.911133,0
1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,90,0.911133,0
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,90,0.911133,0
0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,90,0.911133,0
0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,10,0.911133,0
0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,90,2.14445,1
0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,90,1.9778,1
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,90,1.411083,1
1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,10,1.0111,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,90,1.0111,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,90,2.272217,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,90,2.1074,1
0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,90,1.311067,0
0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,90,1.911083,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,90,1.877817,1
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,90,1.877817,1
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,90,2.144467,1
0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,90,2.144467,1
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,90,1.500033,1
0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,90,1.922233,1
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,90,1.877817,1
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,90,1.966683,1
0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,90,1.7556,1
0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,90,1.677767,1
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,90,1.677767,1
0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,90,1.677767,1
