tiff,anyScriptOrigin,validate,jpg,png,onload,pdf,config_id,dpi,resolution,quality,indexed
0,1,1,1,0,1,0,1,100,8294400,0.9,8
0,0,0,0,0,1,1,2,100,307200,0.1,2
0,1,0,0,0,0,1,3,400,307200,0.1,1
0,1,1,0,0,0,1,4,400,307200,0.1,1
0,1,1,1,0,1,0,5,50,8294400,0.9,8
0,0,0,0,0,1,1,6,400,307200,0.1,1
0,1,1,0,1,0,0,7,200,307200,0.1,1
0,1,1,1,0,0,0,8,50,2073600,0.1,1
0,1,0,0,0,0,1,9,400,307200,0.1,8
1,1,1,0,0,1,0,10,400,2073600,0.1,8
0,1,1,1,0,1,0,11,50,2073600,0.9,8
1,1,1,0,0,0,0,12,200,307200,0.1,1
0,0,0,0,1,0,0,13,400,8294400,0.1,2
0,1,1,1,0,1,0,14,100,2073600,0.9,8
1,1,1,0,0,1,0,15,400,2073600,0.1,4
0,1,1,1,0,1,0,16,400,2073600,0.9,8
0,0,0,0,0,1,1,17,400,307200,0.1,8
0,1,1,0,1,1,0,18,400,2073600,0.1,8
0,0,0,0,1,0,0,19,50,8294400,0.1,1
1,0,0,0,0,0,0,20,50,8294400,0.1,1
0,0,0,0,1,0,0,21,50,2073600,0.1,1
0,1,1,1,0,1,0,22,50,307200,0.9,8
1,0,0,0,0,0,0,23,50,2073600,0.1,1
1,1,1,0,0,0,0,24,400,307200,0.1,1
0,1,0,0,0,0,1,25,200,307200,0.1,8
0,1,1,1,0,1,0,26,100,307200,0.9,8
0,0,0,0,1,0,0,27,100,2073600,0.1,1
0,1,1,1,0,1,0,28,200,2073600,0.9,8
0,1,1,0,1,0,0,29,400,307200,0.1,1
0,1,1,0,0,0,1,30,50,307200,0.1,1
0,1,1,0,0,0,1,31,100,307200,0.1,1
1,0,0,0,0,0,0,32,100,2073600,0.1,1
0,1,1,1,0,1,0,33,200,8294400,0.9,8
0,1,1,1,0,1,0,34,400,8294400,0.9,8
0,1,1,0,1,1,0,35,400,2073600,0.1,4
0,1,1,0,0,1,1,36,50,2073600,0.1,8
0,0,0,0,0,1,1,37,200,307200,0.1,8
0,1,1,0,1,0,0,38,50,307200,0.1,1
0,1,0,0,0,0,1,39,100,307200,0.1,8
0,0,0,0,0,1,1,40,100,307200,0.1,8
1,1,1,0,0,0,0,41,50,307200,0.1,1
0,0,1,0,0,0,1,42,200,307200,0.1,8
1,1,1,0,0,0,0,43,100,307200,0.1,1
0,1,1,1,0,1,0,44,400,8294400,0.1,8
0,1,1,0,0,1,1,45,50,2073600,0.1,4
0,1,1,0,1,0,0,46,100,307200,0.1,1
0,1,1,0,0,1,1,47,200,2073600,0.1,8
0,0,1,0,1,1,0,48,400,307200,0.1,1
0,0,0,0,1,0,0,49,100,8294400,0.1,1
1,0,0,0,0,0,0,50,100,8294400,0.1,1
0,1,1,0,0,1,1,51,200,2073600,0.1,4
0,0,0,0,0,0,1,52,100,8294400,0.1,1
1,0,1,0,0,1,0,53,400,307200,0.1,1
0,1,1,1,0,1,0,54,200,8294400,0.1,8
0,0,1,0,0,0,1,55,100,307200,0.1,8
0,1,1,1,0,1,0,56,400,2073600,0.1,8
0,1,0,0,0,0,1,57,200,307200,0.1,4
0,1,1,1,0,1,0,58,200,2073600,0.1,8
0,1,1,1,0,1,0,59,50,307200,0.1,8
0,0,0,0,0,0,1,60,100,2073600,0.1,1
1,0,0,0,0,0,0,61,100,307200,0.1,1
0,0,1,0,0,0,1,62,200,307200,0.1,4
0,0,0,0,0,1,1,63,200,307200,0.1,4
0,1,0,0,0,0,1,64,200,307200,0.1,1
0,1,1,1,0,1,0,65,100,307200,0.1,8
0,1,1,0,0,1,1,66,400,307200,0.1,8
0,0,1,0,0,0,1,67,200,307200,0.1,1
0,1,1,0,0,1,1,68,400,307200,0.1,4
0,0,1,0,0,1,1,69,400,307200,0.1,1
0,0,1,0,1,1,0,70,50,307200,0.1,1
0,0,0,0,1,0,0,71,100,307200,0.1,1
1,1,1,0,0,1,0,72,50,307200,0.1,8
1,0,1,0,0,1,0,73,50,307200,0.1,1
1,0,0,0,0,0,0,74,50,307200,0.1,1
0,0,1,0,0,1,1,75,50,307200,0.1,1
1,0,1,0,0,1,0,76,100,307200,0.1,1
0,0,0,0,0,1,1,77,200,307200,0.1,1
0,1,0,0,0,0,1,78,100,307200,0.1,4
0,0,1,0,0,0,1,79,100,307200,0.1,4
0,1,1,1,0,1,0,80,400,307200,0.1,8
1,1,1,0,0,1,0,81,50,307200,0.1,4
0,0,0,0,0,1,1,82,100,307200,0.1,4
0,1,0,0,0,0,1,83,100,307200,0.1,1
0,1,1,0,1,1,0,84,50,307200,0.1,8
0,0,1,0,0,0,1,85,100,307200,0.1,1
0,1,1,1,0,1,0,86,200,307200,0.1,8
0,1,1,0,1,1,0,87,50,307200,0.1,4
0,0,1,0,1,1,0,88,100,307200,0.1,1
1,1,1,0,0,1,0,89,200,307200,0.1,8
0,0,0,0,0,1,1,90,100,307200,0.1,1
0,0,1,0,0,1,1,91,100,307200,0.1,1
0,0,1,1,0,0,0,92,400,307200,0.9,1
0,0,1,1,0,0,0,93,400,307200,0.9,4
0,1,0,0,1,0,0,94,100,307200,0.1,8
0,0,1,1,0,0,0,95,400,307200,0.9,2
0,1,1,1,0,1,0,96,400,307200,0.9,8
0,0,0,1,0,1,0,97,400,307200,0.9,4
1,1,1,0,0,1,0,98,200,307200,0.1,4
0,1,1,0,1,1,0,99,200,307200,0.1,8
0,1,1,0,1,1,0,100,200,307200,0.1,4
0,1,0,0,1,0,0,101,100,307200,0.1,4
0,0,0,0,1,0,0,102,50,307200,0.1,1
0,1,0,1,0,0,0,103,400,307200,0.9,4
0,1,1,0,1,1,0,104,400,8294400,0.1,4
0,1,1,0,1,1,0,105,400,8294400,0.1,8
1,0,0,0,0,0,0,106,400,307200,0.1,1
0,0,1,0,1,0,0,107,100,307200,0.1,8
0,0,0,0,1,0,0,108,400,307200,0.1,1
0,0,0,0,0,0,1,109,400,307200,0.1,1
0,1,1,0,1,1,0,110,400,307200,0.1,1
0,0,1,0,1,0,0,111,100,307200,0.1,4
0,0,0,0,0,0,1,112,50,307200,0.1,1
0,0,0,0,0,0,1,113,100,307200,0.1,1
1,0,0,0,0,0,0,114,400,307200,0.1,4
0,1,1,1,0,1,0,115,200,307200,0.9,8
0,0,0,0,1,1,0,116,100,307200,0.1,8
0,1,1,1,0,1,0,117,100,2073600,0.1,8
0,0,0,0,1,1,0,118,100,307200,0.1,4
0,0,0,0,1,1,0,119,200,307200,0.1,8
0,0,0,0,1,0,0,120,400,307200,0.1,4
0,1,1,1,0,1,0,121,100,2073600,0.9,4
1,0,0,0,0,1,0,122,200,307200,0.1,8
1,0,0,0,0,0,0,123,50,307200,0.1,4
0,0,0,1,0,0,0,124,200,307200,0.9,8
0,1,1,1,0,1,0,125,100,2073600,0.1,4
0,1,1,1,0,1,0,126,100,2073600,0.9,1
0,0,0,0,1,0,0,127,50,307200,0.1,4
1,1,1,0,0,1,0,128,400,307200,0.1,1
1,0,0,0,0,0,0,129,100,307200,0.1,4
0,0,0,1,0,0,0,130,200,307200,0.1,8
0,0,0,0,0,1,1,131,200,2073600,0.1,8
0,0,0,0,1,1,0,132,200,2073600,0.1,8
0,1,1,1,0,1,0,133,50,2073600,0.9,1
0,0,0,1,0,1,0,134,400,307200,0.9,1
0,1,0,1,0,0,0,135,400,307200,0.9,1
0,1,1,0,1,1,0,136,50,8294400,0.1,1
0,0,0,1,0,1,0,137,400,307200,0.9,2
1,0,0,0,0,1,0,138,200,2073600,0.1,8
0,0,0,1,0,0,0,139,200,2073600,0.9,8
0,0,0,0,1,0,0,140,100,307200,0.1,4
1,1,1,0,0,1,0,141,50,8294400,0.1,1
0,1,1,0,0,1,1,142,50,307200,0.1,1
0,1,1,0,0,1,1,143,400,8294400,0.1,1
1,1,1,0,0,1,0,144,400,307200,0.1,4
0,0,0,1,0,0,0,145,200,2073600,0.1,8
0,1,0,0,1,0,0,146,200,307200,0.1,8
1,1,0,0,0,0,0,147,200,307200,0.1,8
