encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,weight,selected
1,1,0,0,0,0,1,0,0,0,0,1.76351,1
0,1,0,0,0,1,0,0,0,0,0,1.899411,1
1,0,1,0,0,0,0,0,1,0,0,1.937324,1
0,1,0,0,1,0,0,0,0,0,0,1.629667,1
1,1,0,1,0,0,0,0,0,0,0,2.297459,1
0,1,1,0,0,0,0,1,0,0,0,2.242874,1
0,0,0,1,0,0,0,1,1,0,0,1.650021,1
0,1,0,0,0,0,1,0,0,1,0,2.287197,1
1,0,0,0,1,0,0,0,1,0,1,1.89447,1
0,0,0,0,1,0,0,0,0,0,0,1.6167,1
1,1,0,0,1,0,0,0,0,0,0,1.811127,1
1,1,0,0,1,0,0,0,0,0,1,1.729667,1
0,0,0,0,1,0,0,0,0,1,1,0.800033,0
0,1,0,0,1,0,0,0,0,0,1,0.800033,0
0,0,0,0,0,1,0,0,1,0,0,1.6241,1
0,0,0,0,0,1,0,0,0,0,0,1.844475,1
0,0,0,0,1,0,0,0,0,0,1,1.638933,1
0,0,0,0,1,0,0,0,1,0,0,1.0556,0
1,0,0,0,1,0,0,0,1,0,0,1.955583,1
0,1,0,0,1,0,0,0,1,0,1,1.694483,1
0,0,0,0,1,0,0,0,0,1,0,1.800017,1
1,1,0,0,0,1,0,0,0,0,0,1.5556,1
0,0,0,0,0,1,0,0,0,1,0,1.794433,1
