OPTIMIZE_IN_SELECT,OPTIMIZE_INSERT_FROM_SELECT,OPTIMIZE_TWO_EQUALS,OPTIMIZE_IN_LIST,OPTIMIZE_EVALUATABLE_SUBQUERIES,PAGE_STORE_TRIM,RECOMPILE_ALWAYS,COMPRESS,IGNORE_CATALOGS,OPTIMIZE_OR,PAGE_STORE_INTERNAL_COUNT,REUSE_SPACE,DROP_RESTRICT,DEFRAG_ALWAYS,OPTIMIZE_DISTINCT,MVSTORE,weight,selected
1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1.474067,0
1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1.2222,0
1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1.2222,0
1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,1.2222,0
1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,2.06665,1
1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1.2222,0
1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1.2222,0
1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,2.20888,1
1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1.2222,0
1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1.474067,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2.488875,1
1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1.2,0
1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1.2,0
1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,0,1.95555,1
0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1.7333,1
0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,2.0222,1
0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,2.0222,1
0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,2.0222,1
1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1.7333,1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2.0222,1
0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1.7333,1
0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1.7333,1
0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1.7333,1
0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1.7111,1
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1.7111,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1.7111,1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.7111,0
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1.7111,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.7111,0
1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1.7111,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1.7111,1
0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1.7111,1
0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1.7111,1
