NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,time
1,1,1,0,0,1,0,0,0,1,0,0,0,8,160,0,30.751129501597532
0,0,1,0,1,1,0,0,1,1,0,1,0,8,160,0,30.75634502215338
1,1,0,0,1,1,0,0,0,1,0,1,1,8,8,1,30.758730340031548
0,0,0,0,0,0,1,0,1,1,1,1,1,22,8,1,30.752997151549067
0,0,0,1,0,0,0,0,1,1,0,0,1,48,8,2,30.757684298956725
0,0,0,0,0,0,0,0,0,0,1,0,1,22,8,1,4.13
1,0,0,0,0,0,1,0,1,0,0,0,1,44,8,1,30.75552091569544
0,0,0,0,0,0,0,0,1,1,0,0,0,44,320,0,30.754601598909986
0,1,1,0,0,1,1,0,0,1,0,1,0,22,8,0,30.755988475371456
1,1,1,1,1,1,0,0,1,0,0,1,0,8,8,1,30.752666761808698
1,0,0,0,1,1,0,1,0,0,0,1,1,22,160,0,30.75142820222648
1,0,0,1,1,0,0,0,0,0,0,1,0,48,160,0,30.755570222194695
