OPTIMIZE_IN_SELECT,OPTIMIZE_INSERT_FROM_SELECT,OPTIMIZE_TWO_EQUALS,OPTIMIZE_IN_LIST,OPTIMIZE_EVALUATABLE_SUBQUERIES,PAGE_STORE_TRIM,RECOMPILE_ALWAYS,COMPRESS,IGNORE_CATALOGS,OPTIMIZE_OR,PAGE_STORE_INTERNAL_COUNT,REUSE_SPACE,DROP_RESTRICT,DEFRAG_ALWAYS,OPTIMIZE_DISTINCT,MVSTORE,weight,selected
1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.888889,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1.416667,1
1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1.916667,1
0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,2.071429,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2.111111,1
0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0.666667,0
1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0.666667,0
1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0.666667,0
0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0.666667,0
1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0.666667,0
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1.777778,1
0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1.416667,1
1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0.666667,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.666667,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2.466667,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1.416667,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1.666667,1
0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1.666667,1
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1.666667,1
0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,2.055556,1
0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1.666667,1
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2.166667,1
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2.0,1
0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,2.166667,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1.333333,0
0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1.333333,0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2.166667,1
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.666667,1
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,1
1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2.0,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2.0,1
