NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,weight,selected
1,1,1,0,0,0,1,0,0,1,0,1,0,22,8,0,2.86222,1
1,0,1,1,1,0,0,0,0,0,0,1,0,8,8,0,2.86222,1
1,0,0,0,0,0,0,0,1,0,0,0,1,22,8,1,1.599967,1
1,0,0,0,1,0,0,0,0,0,0,0,1,22,8,1,1.599967,1
1,1,1,0,0,0,0,1,0,1,0,1,0,22,8,2,1.599967,1
0,0,0,0,1,0,0,0,0,0,0,0,1,22,160,0,1.599967,1
1,0,0,0,0,1,1,0,0,1,0,1,1,44,160,0,1.599967,1
1,1,1,0,0,1,0,0,1,1,0,1,0,48,320,0,2.192567,1
0,0,0,1,1,0,0,0,0,0,0,0,0,22,8,2,1.599967,1
0,0,0,0,0,0,0,0,1,0,0,0,1,48,8,1,1.599967,1
1,0,1,1,1,0,0,0,0,1,0,1,0,8,8,0,2.511117,1
1,1,1,0,0,0,1,0,0,1,0,0,0,22,8,0,2.511117,1
0,1,0,0,0,0,1,0,0,1,0,1,0,22,160,0,2.511117,1
0,0,0,1,0,0,1,0,0,0,0,0,0,22,8,1,2.511117,1
0,0,0,1,1,0,0,0,0,0,0,0,0,8,8,0,2.200033,1
1,1,1,0,0,1,0,0,1,0,0,1,0,22,160,0,2.200033,1
