encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,weight,selected
1,0,0,1,0,0,0,1,0,1,0,2.71556,1
0,0,0,0,0,1,0,0,1,0,0,2.71556,1
0,0,0,0,0,1,0,0,0,0,0,1.444467,1
0,1,0,0,1,0,0,0,1,0,1,2.71556,1
0,0,0,0,1,0,0,0,0,1,0,1.444467,1
0,0,0,0,0,1,0,0,0,1,0,1.444467,1
0,0,0,0,1,0,0,0,1,0,1,1.444467,1
1,1,0,0,1,0,0,0,0,1,0,2.444467,1
0,1,0,0,1,0,0,0,0,0,0,2.0074,1
1,1,1,0,0,0,0,0,1,0,0,1.444467,1
0,1,0,0,1,0,0,1,1,1,0,2.366667,1
1,0,0,0,1,0,0,0,1,0,0,2.366667,1
