iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,weight,selected
0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,10,0.7556,0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,90,2.470954,1
1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,10,0.7556,0
0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,10,0.7556,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,90,2.0111,1
0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,90,2.02225,1
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,10,0.7556,0
0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,10,1.720629,1
0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,10,0.7556,0
0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,90,2.341675,1
0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,90,2.675311,1
0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,90,1.5778,0
0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,90,2.30446,1
0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,90,1.848133,1
0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,90,2.14815,1
0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,90,2.17778,1
0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,90,2.0,1
0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,90,1.3778,0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,90,1.92225,1
0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,90,2.17334,1
0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,10,1.4111,0
0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,90,1.840733,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,90,2.077767,1
0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,90,1.6,1
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,90,1.6,0
0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,90,2.2,1
0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,90,1.96665,1
0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,10,1.6111,1
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,90,1.8667,1
