cfg_1,cfg_2,cfg_3,cfg_4,cfg_5,cfg_6,cfg_7,cfg_8,cfg_9,cfg_10,cfg_11,cfg_12,cfg_13,cfg_14,cfg_15,cfg_16,cfg_17,cfg_18,cfg_19,cfg_20,throughput
594,430416956,3142,657542655,38058854,1021843561,73561,423410052,2,53,14342480105,15412,997161536,121,32329429,noblob,1871,7799262,14,605545,301.69
594,430416956,2690,864410533,38058854,1071139858,77631,423410052,2,53,14342480105,15412,997161536,93,38986055,full,1871,7799262,43,605545,301.24
594,430416956,2690,864410533,38058854,553748539,42955,423410052,2,53,14342480105,15412,997161536,93,38986055,minimal,5925,7799262,59,368000,303.17
594,908474474,2963,864410533,93501173,423520443,77631,423410052,2,53,12288210322,1160,997161536,106,45607435,full,1871,7799262,19,839187,297.41
594,430416956,2654,864410533,38058854,1071139858,32701,566417342,2,74,10513164454,15412,2918256319,93,25734708,full,6604,7799262,43,605545,298.46
594,722680245,2678,562880380,38058854,592694769,77631,423410052,2,53,14342480105,15412,2149055775,118,38986055,full,1871,7799262,57,722366,297.01
594,430416956,2642,93782511,38058854,1071139858,77631,423410052,2,53,14342480105,15412,1967113150,93,24405100,full,6656,7799262,43,605545,300.79
117,943964161,2714,1031978249,38058854,1060285393,89381,423410052,0,53,11167338018,15412,997161536,109,41645270,full,6446,7799262,43,605545,303.32
594,430416956,2690,864410533,38058854,524060663,77631,423410052,2,53,14342480105,15412,997161536,93,38986055,full,6381,2348325,36,724318,304.15
594,430416956,2690,479096522,38058854,1071139858,77631,423410052,2,53,14342480105,15412,1482137343,93,38986055,full,4263,7799262,43,605545,308.56
594,430416956,2678,864410533,10337695,76504377,77631,423410052,2,53,14342480105,20043,997161536,93,38986055,full,1871,7799262,43,605545,302.69
594,430416956,2827,864410533,38058854,747330150,77631,423410052,2,53,14342480105,8286,997161536,100,42296745,full,1871,7799262,43,605545,304.79
