OPTIMIZE_IN_SELECT,OPTIMIZE_INSERT_FROM_SELECT,OPTIMIZE_TWO_EQUALS,OPTIMIZE_IN_LIST,OPTIMIZE_EVALUATABLE_SUBQUERIES,PAGE_STORE_TRIM,RECOMPILE_ALWAYS,COMPRESS,IGNORE_CATALOGS,OPTIMIZE_OR,PAGE_STORE_INTERNAL_COUNT,REUSE_SPACE,DROP_RESTRICT,DEFRAG_ALWAYS,OPTIMIZE_DISTINCT,MVSTORE,weight,selected
0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0.833333,0
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2.190476,1
0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1.055556,0
0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1.055556,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0.833333,0
1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1.083333,1
1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0.833333,0
1,0,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0.833333,0
1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1.055556,0
1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0.833333,0
1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0.833333,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2.333333,1
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2.333333,1
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2.083333,1
0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2.083333,1
0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1.5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.5,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2.083333,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.5,1
0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1.75,1
0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1.0,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2.111111,1
0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0
0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1.0,0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1.75,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1.0,0
1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2.0,1
0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2.0,1
1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,2.0,1
1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,2.0,1
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1.833333,1
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1.833333,1
0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1.833333,1
