encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,weight,selected
1,0,0,1,0,0,0,1,0,1,0,1.833333,1
0,1,1,0,0,0,0,1,0,0,0,2.607143,1
0,1,0,0,1,0,0,0,0,0,1,1.9375,1
1,0,1,0,0,0,0,0,1,0,0,1.25,1
0,1,0,0,1,0,0,0,0,0,0,1.416667,1
0,0,0,0,0,1,0,1,1,1,0,1.416667,1
0,0,0,0,1,0,0,0,0,0,1,2.416667,1
0,0,0,0,0,1,0,1,0,1,0,1.875,1
0,0,1,0,0,0,0,0,1,0,0,1.25,1
1,1,0,0,0,1,0,0,1,0,0,1.25,1
0,1,0,0,1,0,0,0,1,0,1,2.333333,1
1,1,0,0,1,0,0,0,0,0,0,1.625,1
1,0,0,0,0,0,1,1,0,0,0,2.25,1
0,0,0,0,1,0,0,0,1,0,1,1.5,1
0,0,0,0,1,0,0,0,0,1,0,2.25,1
0,0,0,0,1,0,0,0,0,0,0,2.25,1
1,1,0,0,1,0,0,0,0,0,1,2.25,1
0,0,0,0,1,0,0,1,1,0,1,2.25,1
