auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,weight,selected
0,0,0,0,0,0,1,0,0,1,1,0,2.259267,1
0,0,0,0,0,0,1,0,0,0,1,0,2.259267,1
1,0,0,1,0,0,1,0,0,0,1,0,1.244467,1
0,0,0,0,0,0,1,0,0,0,1,1,2.259267,1
0,1,1,0,0,0,1,0,0,0,0,0,1.244467,1
0,1,1,0,0,0,0,0,0,0,1,0,1.244467,1
1,1,1,1,1,0,1,0,0,0,1,0,1.674067,1
1,1,1,1,1,0,0,0,0,0,1,0,1.674067,1
0,0,0,0,0,0,1,0,1,0,0,1,1.244467,1
0,0,0,1,1,0,1,0,1,1,1,0,1.244467,1
1,1,1,1,1,0,0,0,0,0,0,0,1.2222,1
1,1,1,1,1,0,0,0,0,0,1,1,1.2222,1
1,1,0,1,1,0,0,0,0,1,1,0,1.2222,1
1,1,1,1,1,0,0,1,0,0,1,0,1.2222,1
1,1,1,1,1,0,1,1,0,1,1,0,1.2222,1
1,0,0,1,1,0,0,0,0,0,1,0,1.2222,1
0,0,0,0,0,0,0,0,0,0,1,0,1.933333,1
0,0,1,0,0,0,1,1,0,0,1,0,1.933333,1
0,0,0,0,0,0,1,1,0,1,1,0,1.933333,1
0,0,0,0,0,0,1,0,0,1,1,1,1.933333,1
