write,0,select,1,0.1,1.1,0.2,1.2,1.3,0.3,2,2674,27906,20834,36784,18392,24891,55070,35593,9450,8624,9,14473,1.4,36179,0.4,0.5,1.5,0.6,1.6,46016.11
sendfile,1,poll,1,0,1,0,1,0,2,0,13713,62872,44951,57422,18535,28311,4705,47132,21426,12487,0,6882,1,9207,1,1,1,1,636,52732.27
write,0,linux-sysepoll,0,0,0,0,1,0,2,1,17876,59019,30170,31821,10078,56080,51548,5965,11516,60937,5,46420,1,65237,0,1,0,0,2177,49064.35
write,1,linux-sysepoll,1,1,0,0,1,1,2,1,13942,11086,47219,13446,6723,25807,11690,32684,6457,41348,11,38117,1,7100,1,0,1,0,2402,48836.9
sendfile,0,poll,0,0,1,0,1,0,1,2,10340,17088,41996,24561,12280,23212,58192,7047,30170,24620,8,17764,1,46557,0,1,0,1,510,48372.23
sendfile,1,libev,0,0,0,0,1,1,0,1,34633,23876,18128,30404,15202,59871,3334,2692,55284,20999,9,13648,1,20625,0,1,0,1,1873,48284.32
sendfile,1,linux-sysepoll,0,0,1,0,1,0,1,2,7425,24945,27367,18817,104,8468,15840,14065,11375,26355,9,15263,1,13054,0,1,0,1,1944,48200.39
write,0,poll,0,0,0,1,1,1,2,2,63826,34805,35485,22259,25245,41941,29825,29081,20075,46141,14,51705,1,61153,1,1,1,1,28,47608.41
sendfile,1,linux-sysepoll,1,0,1,1,0,1,0,1,19455,6766,46652,36444,15891,45947,18024,47714,28379,20107,15,37360,1,58287,0,1,1,0,102,45200.68
write,0,libev,1,0,1,1,1,1,0,0,30493,54709,12227,57067,28533,27863,51300,13721,51246,1799,2,35956,0,18837,1,1,1,1,767,43348.23
write,0,linux-sysepoll,0,0,1,1,1,0,2,0,45373,60461,9670,41392,14896,2207,57039,29934,26182,8907,5,40187,0,37720,0,0,1,1,728,42200.07
sendfile,1,poll,1,1,1,0,1,0,2,2,53139,59537,52121,40766,25280,20146,17635,6818,30582,39878,9,3233,0,7009,1,0,1,1,1412,41584.4
write,0,linux-sysepoll,1,1,1,0,1,0,0,1,25207,8205,49507,21687,25963,45209,39299,50088,46119,62282,13,5323,0,60178,0,1,1,0,2023,40875.87
write,1,select,1,1,1,1,1,0,1,2,28004,13160,24236,35134,25817,47496,10054,13382,57762,56800,9,64784,0,7286,1,0,1,1,1104,39702.78
write,1,poll,0,0,1,1,1,1,0,0,64946,43631,28893,17412,23765,7598,36757,26286,8299,4068,10,62495,0,49366,0,0,0,0,2494,39531.43
sendfile,0,select,1,0,0,1,1,1,1,1,16757,501,47269,11581,5790,26093,33137,35063,39566,64765,11,19943,1,31518,1,0,1,1,1587,15414.3
sendfile,0,libev,0,0,0,0,0,0,0,0,31786,11171,40686,62216,31108,36015,47915,3509,13499,29720,3,60238,1,5242,0,0,0,1,1665,10587.86
write,0,select,1,1,0,0,0,1,0,0,15880,53088,25882,4125,7096,19655,23195,35111,50325,45379,6,53697,0,7934,0,0,1,0,119,10492.55
writev,1,select,0,0,1,0,0,1,1,2,47600,17314,37654,43493,21746,41654,20567,2505,35282,25778,6,30732,1,22001,0,1,1,0,1344,10069.46
sendfile,1,poll,1,0,0,1,0,1,0,1,43671,2109,10444,28083,18434,25194,29068,16228,26228,15304,4,64996,0,8500,1,1,1,0,1283,9997.15
writev,0,linux-sysepoll,0,1,0,1,0,0,2,0,45415,22250,755,15763,17254,28542,20132,44091,16027,46244,7,25474,1,1244,1,0,1,1,1741,9693.55
