encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,weight,selected
0,1,0,1,0,0,0,1,1,1,0,2.7,1
0,0,0,0,1,0,0,0,1,0,0,2.7,1
1,0,1,0,0,0,0,0,0,1,0,3.0,1
0,0,0,0,0,0,1,0,1,0,0,2.8,1
1,0,1,0,0,0,0,0,1,0,0,2.5,1
0,0,0,0,0,1,0,1,0,0,0,2.6,1
0,0,0,1,0,0,0,1,1,1,0,2.6,1
1,1,0,0,0,1,0,1,0,1,0,1.2,0
1,1,0,1,0,0,0,1,1,1,0,1.2,0
1,0,0,0,1,0,0,0,0,0,0,1.2,0
0,0,0,0,1,0,0,0,0,1,0,1.9,1
0,0,0,1,0,0,0,1,1,0,0,1.9,0
1,0,0,0,0,0,1,1,0,0,0,1.8,0
0,0,0,0,1,0,0,0,0,0,0,1.5,0
0,1,0,0,1,0,0,1,1,1,0,2.0,1
1,0,0,1,0,0,0,0,1,1,0,2.1,1
0,0,0,0,0,1,0,0,1,1,0,2.0,1
1,0,0,0,1,0,0,0,1,0,1,1.7,0
1,0,0,0,1,0,0,0,1,0,0,1.7,0
1,0,0,0,0,0,1,0,1,0,0,2.1,1
0,1,0,0,1,0,0,0,0,0,0,2.2,1
1,1,0,0,0,1,0,0,0,0,0,1.9,1
0,0,0,0,0,1,0,1,0,1,0,2.2,1
0,0,0,0,0,1,0,0,0,1,0,1.9,1
0,0,0,0,0,1,0,0,1,0,0,2.0,1
0,0,0,0,1,0,0,0,1,1,1,2.0,1
1,1,0,0,1,0,0,0,0,1,0,2.1,1
1,1,0,0,1,0,0,0,0,0,0,2.1,1
