encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,weight,selected
1,0,0,1,0,0,0,1,0,1,0,2.319444,1
1,1,0,0,1,0,0,0,0,0,0,2.395833,1
0,1,0,0,1,0,0,1,1,1,0,2.385417,1
0,1,0,0,1,0,0,0,0,0,1,1.34375,1
1,1,0,0,1,0,0,0,0,0,1,1.925,1
1,1,0,0,1,0,0,0,0,1,0,2.416667,1
0,1,0,0,1,0,0,0,0,0,0,1.675,1
0,0,0,1,0,0,0,1,0,0,0,0.75,1
0,1,0,1,0,0,0,0,1,0,0,0.75,1
0,1,0,1,0,0,0,1,0,1,0,0.75,1
0,0,0,0,1,0,0,0,0,1,0,2.446429,1
0,1,0,0,0,0,1,0,0,1,0,1.6875,1
1,0,0,0,0,0,1,0,0,1,0,1.5,1
1,0,1,0,0,0,0,0,1,0,0,1.6875,1
0,0,0,0,1,0,0,0,0,0,1,1.5625,1
0,1,0,0,0,1,0,0,0,0,0,1.5625,1
0,0,0,0,1,0,0,0,1,0,0,1.125,1
1,0,0,0,0,0,1,0,1,0,0,2.0,1
0,0,0,0,1,0,0,1,0,0,1,1.5,1
0,0,0,0,1,0,0,0,0,0,0,1.5,1
