auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,weight,selected
1,1,0,0,0,0,0,1,0,1,1,0,1.651867,1
1,0,1,0,1,0,0,0,0,0,0,0,1.651867,1
1,0,1,0,1,0,0,0,0,0,1,0,2.41668,1
1,0,0,0,0,0,0,1,0,1,1,0,2.151867,1
1,0,1,0,0,0,0,0,0,0,1,0,2.41668,1
0,1,1,0,1,0,0,0,0,0,0,0,1.0778,1
0,1,1,1,1,0,1,0,0,0,0,0,1.0778,0
0,1,1,0,0,0,1,1,0,0,1,0,1.0778,0
0,0,1,0,0,0,1,1,0,1,1,0,2.151867,1
1,1,1,0,0,1,1,1,0,0,1,1,1.0778,1
1,1,1,1,1,0,0,0,0,0,0,0,1.90555,1
1,1,0,0,0,0,0,0,0,0,1,0,1.90555,1
1,1,1,1,1,0,0,0,0,0,1,0,1.6222,1
1,1,1,0,0,0,0,1,0,1,0,1,1.6222,1
1,1,0,0,0,0,0,0,0,0,0,1,1.6222,1
1,1,1,1,1,0,0,0,0,1,1,0,1.6222,1
1,1,1,1,1,0,0,0,0,0,1,1,1.6222,1
1,1,0,0,0,0,0,0,0,0,1,1,1.6222,1
1,1,0,0,0,0,1,0,0,1,1,0,1.6222,1
1,1,0,0,0,0,0,0,0,0,0,0,1.6222,1
1,0,0,0,0,0,0,0,0,0,1,0,1.9389,1
0,0,1,0,0,0,1,0,0,0,1,0,1.9389,1
