encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,weight,selected
0,1,0,1,0,0,0,1,0,0,0,2.270833,1
1,1,0,1,0,0,0,0,0,0,0,2.133333,1
1,0,0,0,0,0,1,0,1,0,0,2.166667,1
1,0,0,0,1,0,0,0,1,0,0,2.190476,1
0,0,0,1,0,0,0,1,1,0,0,2.25,1
1,0,0,0,0,0,1,1,0,0,0,1.666667,1
0,1,0,0,1,0,0,0,0,0,0,1.866667,1
0,0,0,0,1,0,0,0,0,0,1,1.933333,1
0,0,0,0,1,0,0,0,0,1,1,1.25,1
1,0,0,1,0,0,0,0,1,0,0,1.166667,1
1,0,0,0,1,0,0,0,1,0,1,2.0,1
0,0,0,0,0,0,1,0,1,0,0,2.0,1
0,1,0,0,1,0,0,0,1,0,1,1.333333,1
0,0,0,0,1,0,0,0,0,1,0,1.666667,1
0,0,0,0,1,0,0,1,0,0,1,1.666667,1
0,0,0,0,1,0,0,0,0,0,0,1.333333,1
