encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,workload
0,0,1,0,0,0,0,1,1,1,0,deepfield.tar
0,0,0,0,0,0,1,0,1,0,0,deepfield.tar
0,0,0,0,0,1,0,1,0,1,0,deepfield.tar
0,0,0,0,0,1,0,1,0,0,0,deepfield.tar
0,0,0,0,1,0,0,0,1,0,0,deepfield.tar
1,0,0,0,1,0,0,0,1,0,0,deepfield.tar
0,0,0,0,1,0,0,1,0,0,1,deepfield.tar
1,0,0,0,0,0,1,0,0,1,0,deepfield.tar
0,0,0,0,1,0,0,0,0,0,1,deepfield.tar
0,1,0,0,0,0,1,0,0,1,0,deepfield.tar
0,0,0,0,1,0,0,0,1,0,1,deepfield.tar
0,1,0,1,0,0,0,1,0,0,0,deepfield.tar
0,0,0,0,1,0,0,0,1,1,1,deepfield.tar
0,1,0,0,0,1,0,1,1,1,0,deepfield.tar
0,1,0,0,1,0,0,0,1,1,1,deepfield.tar
0,1,0,1,0,0,0,0,1,0,0,deepfield.tar
0,0,0,0,1,0,0,1,0,0,0,deepfield.tar
0,0,0,1,0,0,0,0,1,0,0,deepfield.tar
1,0,0,0,1,0,0,0,1,1,1,deepfield.tar
1,0,0,0,0,1,0,0,1,0,0,deepfield.tar
0,0,0,0,1,0,0,1,0,0,1,ambivert.wav.tar
0,0,0,0,1,0,0,1,0,0,1,ambivert.wav.tar
0,1,0,0,1,0,0,1,1,1,0,ambivert.wav.tar
0,0,0,0,1,0,0,0,0,0,1,ambivert.wav.tar
0,0,0,0,1,0,0,0,0,0,1,ambivert.wav.tar
0,0,0,0,0,1,0,1,0,1,0,ambivert.wav.tar
0,0,0,0,0,1,0,1,0,1,0,ambivert.wav.tar
0,0,0,0,0,1,0,0,0,0,0,ambivert.wav.tar
0,0,0,0,1,0,0,0,0,1,0,ambivert.wav.tar
0,0,0,0,1,0,0,0,1,0,0,ambivert.wav.tar
0,0,0,0,1,0,0,0,1,0,0,ambivert.wav.tar
0,0,0,0,0,1,0,1,0,0,0,ambivert.wav.tar
0,0,0,0,1,0,0,0,1,0,1,ambivert.wav.tar
0,0,0,0,0,1,0,1,0,0,0,ambivert.wav.tar
0,0,1,0,0,0,0,1,1,1,0,ambivert.wav.tar
0,0,1,0,0,0,0,1,1,1,0,ambivert.wav.tar
0,0,0,0,1,0,0,0,0,0,0,ambivert.wav.tar
0,0,0,0,0,0,1,0,1,0,0,ambivert.wav.tar
1,0,0,0,1,0,0,0,1,0,0,ambivert.wav.tar
0,0,0,0,0,0,1,0,1,0,0,ambivert.wav.tar
0,0,0,0,1,0,0,1,0,0,1,vmlinux-5.10.tar
0,0,0,0,1,0,0,1,0,0,1,vmlinux-5.10.tar
0,1,0,0,1,0,0,1,1,1,0,vmlinux-5.10.tar
0,1,0,0,0,0,1,0,0,1,0,vmlinux-5.10.tar
0,0,0,0,0,1,0,1,0,0,0,vmlinux-5.10.tar
0,0,0,0,0,1,0,1,0,0,0,vmlinux-5.10.tar
0,1,0,0,0,0,1,0,0,1,0,vmlinux-5.10.tar
0,0,0,0,0,1,0,0,0,0,0,vmlinux-5.10.tar
0,1,0,0,0,1,0,0,0,0,0,vmlinux-5.10.tar
0,0,0,0,1,0,0,0,1,0,1,vmlinux-5.10.tar
1,0,0,0,1,0,0,0,1,0,0,vmlinux-5.10.tar
0,0,0,0,0,0,1,0,1,0,0,vmlinux-5.10.tar
0,0,0,0,0,0,1,0,1,0,0,vmlinux-5.10.tar
1,0,0,0,1,0,0,0,1,0,0,vmlinux-5.10.tar
0,0,0,0,0,1,0,0,1,0,0,vmlinux-5.10.tar
0,0,0,0,1,0,0,0,1,0,0,vmlinux-5.10.tar
0,0,1,0,0,0,0,1,1,1,0,vmlinux-5.10.tar
0,0,1,0,0,0,0,1,1,1,0,vmlinux-5.10.tar
0,0,0,0,1,0,0,0,1,0,0,vmlinux-5.10.tar
0,1,0,0,1,0,0,1,1,1,1,vmlinux-5.10.tar
0,0,0,0,0,1,0,0,0,0,0,enwik8.tar
0,0,0,0,1,0,0,0,0,1,0,enwik8.tar
0,0,0,0,1,0,0,1,0,0,1,enwik8.tar
0,0,0,0,1,0,0,1,0,0,1,enwik8.tar
1,0,0,0,0,0,1,0,0,1,0,enwik8.tar
1,0,0,0,0,0,1,0,0,1,0,enwik8.tar
0,0,0,0,1,0,0,0,0,0,1,enwik8.tar
0,0,0,0,1,0,0,0,0,0,1,enwik8.tar
0,0,0,0,1,0,0,0,0,0,0,enwik8.tar
0,0,0,0,1,0,0,1,1,0,1,enwik8.tar
0,1,0,0,0,1,0,0,0,0,0,enwik8.tar
0,0,0,0,0,0,1,0,1,0,0,enwik8.tar
0,0,0,0,0,0,1,0,1,0,0,enwik8.tar
0,1,0,0,1,0,0,1,1,1,0,enwik8.tar
0,0,0,0,1,0,0,0,1,0,0,enwik8.tar
0,0,0,0,1,0,0,0,1,0,0,enwik8.tar
0,1,0,0,0,0,1,0,0,1,0,enwik8.tar
1,0,0,0,1,0,0,0,1,0,0,enwik8.tar
1,0,0,0,1,0,0,0,1,0,0,enwik8.tar
0,1,0,0,0,0,1,0,0,1,0,enwik8.tar
0,1,0,0,0,1,0,0,0,0,0,large.tar
1,0,0,0,1,0,0,0,1,0,0,large.tar
1,0,0,0,1,0,0,0,1,0,0,large.tar
0,0,0,0,0,1,0,0,0,0,0,large.tar
0,0,0,0,1,0,0,0,0,1,0,large.tar
0,1,0,0,1,0,0,1,1,1,0,large.tar
0,0,0,0,0,1,0,1,0,0,0,large.tar
0,0,0,0,0,1,0,1,0,0,0,large.tar
0,0,0,0,0,1,0,0,1,0,0,large.tar
0,0,0,0,1,0,0,1,1,0,1,large.tar
0,1,0,0,0,0,1,0,0,1,0,large.tar
0,0,0,0,1,0,0,0,1,0,1,large.tar
0,0,0,0,0,0,1,0,1,0,0,large.tar
0,0,0,0,0,0,1,0,1,0,0,large.tar
0,1,0,0,0,0,1,0,0,1,0,large.tar
0,0,0,0,0,1,0,0,0,1,0,large.tar
0,0,0,0,1,0,0,1,0,0,1,large.tar
0,0,0,0,1,0,0,0,0,0,1,large.tar
0,0,0,0,1,0,0,0,0,0,0,large.tar
0,0,0,0,0,1,0,1,0,1,0,large.tar
