encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,weight,selected
0,0,0,0,0,1,0,1,0,1,0,0.8889,0
0,0,0,0,0,1,0,0,0,0,0,1.683325,1
0,1,0,0,1,0,0,0,0,0,0,1.1778,1
0,0,0,0,1,0,0,0,0,1,0,2.517457,1
0,1,0,0,0,1,0,0,0,0,0,1.86668,1
0,0,0,0,1,0,0,0,1,0,0,1.651867,1
1,1,0,1,0,0,0,0,0,0,0,2.294973,1
0,1,0,1,0,0,0,1,0,0,0,2.268525,1
1,1,0,0,0,1,0,0,0,0,0,2.094425,1
1,0,0,0,0,0,1,0,1,0,0,2.1289,1
1,0,0,1,0,0,0,0,1,1,0,2.116675,1
1,1,0,0,1,0,0,0,0,0,0,2.0185,1
0,0,0,0,0,1,0,1,0,0,0,1.2111,1
1,0,0,0,0,0,1,1,0,0,0,1.988867,1
0,1,0,1,0,0,0,1,1,1,0,1.966667,1
0,0,0,0,1,0,0,0,0,0,0,1.3222,1
0,0,0,0,0,1,0,1,1,1,0,1.3556,1
1,1,0,0,1,0,0,0,0,1,0,1.903733,1
0,0,0,0,1,0,0,0,0,1,1,1.6556,1
0,0,0,0,0,1,0,0,0,1,0,1.8,1
0,0,0,0,0,0,1,0,1,0,0,1.8,1
