id,8x8dct,analyse,aq-mode,aq-strength,b-adapt,bframes,cabac,chroma-qp-offset,crf,deblock,direct,fast-pskip,keyint,lookahead-threads,me,merange,mixed-refs,mbtree,nal-hrd,open-gop,profile,qcomp,qpmax,qpmin,rc-lookahead,ref,scenecut,subme,threads,trellis,weightb,weightp,EncodeTime
1660,0,p4x4,2,0.5840420073923976,0,6,0,-2,1.805838349181472,-6:6,temporal,0,133,3,tesa,51,0,1,cbr,0,main,0.206496826245575,27,12,247,6,49,0,24,1,1,2,14.14
841,0,all,2,1.9764779946136457,0,2,1,5,30.67779724178076,2:-2,spatial,0,371,1,hex,33,0,0,none,0,main,0.965548204926018,37,17,101,14,99,6,42,2,1,0,9.25
696,0,p4x4,1,0.8462092329152875,2,14,0,9,5.634771623297636,5:5,auto,0,5,3,tesa,17,1,0,none,1,high,0.5127995770353311,43,15,144,5,56,2,45,2,1,1,31.96
319,0,all,0,0.9883589560143208,0,14,0,-12,36.99427598043803,-4:4,auto,0,108,3,tesa,28,0,0,vbr,0,baseline,0.5953676782928479,43,15,144,5,56,2,45,2,1,0,36.61
1937,0,"p8x8,b8x8,i8x8,i4x4",3,1.831088268337472,0,16,1,9,32.33306222170616,5:5,spatial,1,5,3,tesa,10,0,0,vbr,0,baseline,0.8264614212937585,33,20,39,16,90,3,41,0,1,1,3.59
1937,1,"p8x8,b8x8,i8x8,i4x4",1,0.8462092329152875,2,14,0,11,38.632211284256606,4:-4,auto,1,482,3,tesa,54,0,0,vbr,0,baseline,0.6808282990153035,46,11,144,9,92,6,5,1,1,2,10.72
79,0,all,1,0.8462092329152875,1,14,0,9,5.634771623297636,5:5,auto,0,5,1,tesa,28,1,1,none,0,baseline,0.5953676782928479,43,20,97,5,93,2,45,2,1,1,38.94
79,0,all,0,0.9883589560143208,2,14,0,-12,36.99427598043803,5:5,auto,0,273,3,tesa,28,0,1,none,1,baseline,0.5953676782928479,43,13,144,5,56,2,45,2,1,1,9.38
2289,0,p8x8,3,0.8462092329152875,1,14,0,9,38.632211284256606,4:-4,spatial,1,268,3,hex,38,0,0,vbr,0,baseline,0.2480714010763372,46,11,144,9,92,2,5,1,1,2,28.23
1937,0,"p8x8,b8x8,i8x8,i4x4",3,0.8462092329152875,1,16,0,11,20.41563463271659,5:5,none,0,449,4,dia,22,0,0,none,0,baseline,0.5953676782928479,21,6,95,12,52,3,59,1,1,1,3.59
2289,0,all,2,0.9574783542099868,0,14,0,6,5.634771623297636,5:5,auto,0,157,3,tesa,34,0,1,vbr,0,baseline,0.8264614212937585,33,8,39,3,9,3,41,0,1,1,11.53
335,0,"p8x8,b8x8,i8x8,i4x4",1,0.3941451517086615,1,5,0,4,37.6763688630988,5:5,auto,1,5,3,tesa,41,0,1,none,0,baseline,0.5179244081964828,43,15,144,5,55,2,58,2,1,2,3.59
1937,1,p8x8,3,0.8462092329152875,2,14,1,9,32.33306222170616,5:5,auto,1,5,3,tesa,10,1,0,none,0,baseline,0.404552170659565,21,16,39,16,49,3,20,1,1,1,3.59
1937,1,p8x8,1,0.8462092329152875,2,14,1,9,32.33306222170616,5:5,auto,1,5,3,tesa,10,0,0,none,1,baseline,0.404552170659565,25,16,39,16,49,3,20,1,1,1,60.17
1735,0,"p8x8,b8x8,i8x8,i4x4",3,0.8462092329152875,1,16,1,11,38.632211284256606,4:-4,auto,1,268,0,tesa,28,0,1,none,0,baseline,0.5953676782928479,43,15,144,10,56,2,45,2,0,1,3.59
79,0,all,0,0.9883589560143208,2,14,0,-12,36.99427598043803,3:3,auto,0,108,3,hex,38,0,0,vbr,0,baseline,0.6808282990153035,46,20,144,9,92,2,5,1,1,2,4.68
1937,1,p8x8,1,0.8462092329152875,2,14,0,9,32.33306222170616,5:5,auto,1,5,3,tesa,41,0,1,none,0,baseline,0.5953676782928479,43,11,144,8,55,2,58,2,1,2,50.8
2289,0,all,1,0.9574783542099868,0,14,0,9,5.634771623297636,5:5,auto,0,5,3,tesa,10,0,0,none,0,baseline,0.8431316721911933,21,16,205,16,49,3,20,2,1,1,3.59
1937,1,"p8x8,b8x8,i8x8,i4x4",1,0.8462092329152875,2,14,1,9,32.33306222170616,5:5,auto,1,5,0,tesa,10,0,0,cbr,0,baseline,0.404552170659565,21,16,39,16,49,3,20,1,1,1,228.27
1937,1,p8x8,1,0.8462092329152875,0,14,1,9,32.33306222170616,5:5,auto,1,5,3,tesa,10,0,0,vbr,0,baseline,0.8264614212937585,33,20,39,16,90,3,41,0,1,1,6.33
1766,0,"p8x8,b8x8,i8x8,i4x4",3,0.8462092329152875,1,3,0,9,16.159492446726667,5:5,none,1,449,3,tesa,40,0,0,none,1,baseline,0.9290259596947192,49,6,39,16,49,3,41,0,1,1,3.59
