OPTIMIZE_IN_SELECT,OPTIMIZE_INSERT_FROM_SELECT,OPTIMIZE_TWO_EQUALS,OPTIMIZE_IN_LIST,OPTIMIZE_EVALUATABLE_SUBQUERIES,PAGE_STORE_TRIM,RECOMPILE_ALWAYS,COMPRESS,IGNORE_CATALOGS,OPTIMIZE_OR,PAGE_STORE_INTERNAL_COUNT,REUSE_SPACE,DROP_RESTRICT,DEFRAG_ALWAYS,OPTIMIZE_DISTINCT,MVSTORE,weight,selected
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1.65555,1
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2.627762,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.0222,0
0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1.362933,1
0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1.0222,0
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1.0222,0
1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1.0222,0
0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1.0222,0
0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,1.0222,0
1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1.0222,0
0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,2.433325,1
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1.1333,1
1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1.1333,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2.433325,1
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1.1333,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1.1333,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.266667,1
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2.266667,1
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2.266667,1
1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2.0778,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.4889,1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1.6444,1
1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.6444,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1.6444,1
0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1.8667,1
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1.8667,1
1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1.8667,1
